net_short_position,isin,position_date,position_holder,issuer_name,source
2.0,NL0011821392,2026-04-20,Citadel Advisors LLC,Signify N.V.,current
1.06,NL0011872650,2026-04-20,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,current
1.45,NL00150003E1,2026-04-20,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
0.7,NL0011872650,2026-04-20,Linden Advisors LP,Basic-Fit N.V.,current
1.16,NL0013267909,2026-04-20,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,current
1.01,JE00BRX98089,2026-04-20,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
1.58,NL0012817175,2026-04-20,Voleon Capital Management LP,Alfen N.V.,current
0.57,NL0006237562,2026-04-20,White Creek Capital LLP,ARCADIS N.V.,current
2.67,NL0012817175,2026-04-20,"WorldQuant, LLC",Alfen N.V.,current
0.89,NL0010801007,2026-04-17,"BlackRock Financial Management, Inc.",IMCD N.V.,current
0.53,NL0010801007,2026-04-17,Citadel Advisors LLC,IMCD N.V.,current
0.5,NL0000379121,2026-04-17,Citadel Advisors LLC,Randstad N.V.,current
2.22,NL0011821392,2026-04-17,Citadel Advisors LLC,Signify N.V.,current
0.71,NL0000817179,2026-04-17,Citadel Advisors LLC,Sligro Food Group N.V.,current
1.12,NL0011872650,2026-04-17,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,current
1.41,NL0013267909,2026-04-17,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,current
1.02,NL0011872650,2026-04-17,Fosse Capital Partners LLP,Basic-Fit N.V.,current
1.06,NL00150003E1,2026-04-17,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
0.91,NL0010801007,2026-04-17,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
1.22,NL0013332471,2026-04-17,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,current
0.59,NL0011872650,2026-04-17,Linden Advisors LP,Basic-Fit N.V.,current
0.65,NL0010801007,2026-04-17,Marshall Wace LLP,IMCD N.V.,current
0.81,NL0009739416,2026-04-17,Marshall Wace LLP,PostNL N.V.,current
0.9,NL0011821392,2026-04-17,"PDT Partners, LLC",Signify N.V.,current
0.6,NL0011872650,2026-04-17,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,current
1.47,LU2290522684,2026-04-17,"Two Sigma Investments, LP",InPost S.A.,current
0.62,NL0015002MS2,2026-04-17,Walleye Capital LLC,The Magnum Ice Cream Company N.V.,current
0.69,NL0010801007,2026-04-16,Acadian Asset Management LLC.,IMCD N.V.,current
1.07,NL0013267909,2026-04-16,AKO Capital LLP,Akzo Nobel N.V.,current
1.3,NL0012969182,2026-04-16,"AQR Capital Management, LLC",Adyen N.V.,current
2.32,NL0011821392,2026-04-16,Citadel Advisors LLC,Signify N.V.,current
0.85,NL0010801007,2026-04-16,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
0.58,NL0015002MS2,2026-04-16,JPMorgan Asset Management (UK) Ltd.,The Magnum Ice Cream Company N.V.,current
1.18,NL0010391025,2026-04-16,Lazard Asset Management LLC,Pharming Group N.V.,current
0.52,NL0010801007,2026-04-16,Marshall Wace LLP,IMCD N.V.,current
1.79,NL0012817175,2026-04-16,Voleon Capital Management LP,Alfen N.V.,current
2.75,NL0012817175,2026-04-16,"WorldQuant, LLC",Alfen N.V.,current
1.41,NL0013267909,2026-04-15,AKO Capital LLP,Akzo Nobel N.V.,current
0.68,NL0012969182,2026-04-15,Capital Fund Management S.A.,Adyen N.V.,current
1.23,CH1216478797,2026-04-15,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.76,NL0010801007,2026-04-15,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
1.2,NL0010391025,2026-04-15,Lazard Asset Management LLC,Pharming Group N.V.,current
1.82,NL0011821392,2026-04-15,Marshall Wace LLP,Signify N.V.,current
1.15,NL0015002MS2,2026-04-15,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
1.16,CY0200751713,2026-04-15,Qube Research & Technologies Ltd.,Theon International Plc,current
0.88,NL0006237562,2026-04-15,Squarepoint Ops LLC,ARCADIS N.V.,current
1.89,NL0012817175,2026-04-15,Voleon Capital Management LP,Alfen N.V.,current
0.97,NL0010801007,2026-04-14,"BlackRock Financial Management, Inc.",IMCD N.V.,current
0.51,NL0015002K83,2026-04-14,Citadel Advisors LLC,Havas N.V.,current
1.23,NL0011872650,2026-04-14,Fosse Capital Partners LLP,Basic-Fit N.V.,current
0.66,NL0010801007,2026-04-14,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,current
1.22,NL0015002MS2,2026-04-14,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.5,NL0009739416,2026-04-14,"PDT Partners, LLC",PostNL N.V.,current
2.84,NL0012817175,2026-04-14,"WorldQuant, LLC",Alfen N.V.,current
1.21,NL0012969182,2026-04-13,"AQR Capital Management, LLC",Adyen N.V.,current
1.01,NL0006237562,2026-04-13,"AQR Capital Management, LLC",ARCADIS N.V.,current
0.71,JE00BRX98089,2026-04-13,"AQR Capital Management, LLC",CVC Capital Partners plc,current
0.61,NL0000817179,2026-04-13,Citadel Advisors LLC,Sligro Food Group N.V.,current
0.89,NL0010801007,2026-04-13,"PDT Partners, LLC",IMCD N.V.,current
0.5,NL0015002MS2,2026-04-13,Walleye Capital LLC,The Magnum Ice Cream Company N.V.,current
0.58,LU1598757687,2026-04-10,"AQR Capital Management, LLC",ArcelorMittal S.A.,current
0.8,NL0000395903,2026-04-10,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
1.38,NL0015002MS2,2026-04-10,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.9,NL0010801007,2026-04-10,"PDT Partners, LLC",IMCD N.V.,current
1.22,CY0200751713,2026-04-10,Qube Research & Technologies Ltd.,Theon International Plc,current
1.13,NL0012969182,2026-04-09,"AQR Capital Management, LLC",Adyen N.V.,current
0.51,NL0010801007,2026-04-09,"AQR Capital Management, LLC",IMCD N.V.,current
2.42,NL0011821392,2026-04-09,Citadel Advisors LLC,Signify N.V.,current
1.0,CH1216478797,2026-04-09,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
0.71,NL0012365084,2026-04-09,Numeric Investors LLC,NSI N.V.,current
0.89,NL0010801007,2026-04-09,"PDT Partners, LLC",IMCD N.V.,current
0.61,NL0000852564,2026-04-08,"AQR Capital Management, LLC",Aalberts N.V.,current
1.22,NL0011821392,2026-04-08,"AQR Capital Management, LLC",Signify N.V.,current
2.39,NL0011821392,2026-04-08,Citadel Advisors LLC,Signify N.V.,current
0.5,NL0015002MS2,2026-04-08,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,current
0.79,NL0010801007,2026-04-08,"Two Sigma Investments, LP",IMCD N.V.,current
0.66,NL0010801007,2026-04-07,"BlackRock Advisors, LLC",IMCD N.V.,current
1.0,NL0010801007,2026-04-07,"BlackRock Financial Management, Inc.",IMCD N.V.,current
0.76,NL0010801007,2026-04-07,Capital Fund Management S.A.,IMCD N.V.,current
2.41,NL0011821392,2026-04-07,Citadel Advisors LLC,Signify N.V.,current
0.69,NL0006237562,2026-04-07,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
1.46,NL0015002MS2,2026-04-07,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
1.98,NL0012817175,2026-04-07,Voleon Capital Management LP,Alfen N.V.,current
2.77,NL0012817175,2026-04-07,"WorldQuant, LLC",Alfen N.V.,current
1.0,NL0012969182,2026-04-02,"AQR Capital Management, LLC",Adyen N.V.,current
0.61,JE00BRX98089,2026-04-02,"AQR Capital Management, LLC",CVC Capital Partners plc,current
0.99,NL0010801007,2026-04-02,"BlackRock Financial Management, Inc.",IMCD N.V.,current
0.5,NL0000817179,2026-04-02,Citadel Advisors LLC,Sligro Food Group N.V.,current
0.7,NL0006237562,2026-04-02,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
0.62,NL0011872650,2026-04-02,Eleva Capital SAS,Basic-Fit N.V.,current
0.78,NL0000379121,2026-04-02,Marshall Wace LLP,Randstad N.V.,current
0.61,LU1598757687,2026-04-01,"AQR Capital Management, LLC",ArcelorMittal S.A.,current
1.1,NL0011821392,2026-04-01,"AQR Capital Management, LLC",Signify N.V.,current
1.21,NL0010801007,2026-04-01,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
0.74,NL0011821392,2026-04-01,Canada Pension Plan Investment Board,Signify N.V.,current
2.36,NL0011821392,2026-04-01,Citadel Advisors LLC,Signify N.V.,current
0.69,NL0006237562,2026-04-01,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
0.5,NL0011872650,2026-04-01,Eleva Capital SAS,Basic-Fit N.V.,current
1.79,NL0011821392,2026-04-01,Marshall Wace LLP,Signify N.V.,current
2.86,NL0012817175,2026-04-01,"WorldQuant, LLC",Alfen N.V.,current
0.62,NL0010801007,2026-03-31,Capital Fund Management S.A.,IMCD N.V.,current
2.4,NL0011821392,2026-03-31,Citadel Advisors LLC,Signify N.V.,current
1.21,NL0011821392,2026-03-31,Eleva Capital SAS,Signify N.V.,current
0.9,JE00BRX98089,2026-03-31,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
0.9,NL0012969182,2026-03-30,"AQR Capital Management, LLC",Adyen N.V.,current
1.05,NL0011821392,2026-03-30,Eleva Capital SAS,Signify N.V.,current
0.64,NL0015002MS2,2026-03-30,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
0.91,CH1216478797,2026-03-30,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
1.87,NL0011821392,2026-03-30,Marshall Wace LLP,Signify N.V.,current
1.59,NL0015002MS2,2026-03-30,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
0.61,NL0012365084,2026-03-30,Numeric Investors LLC,NSI N.V.,current
0.99,NL0006237562,2026-03-30,Squarepoint Ops LLC,ARCADIS N.V.,current
0.7,CY0200751713,2026-03-30,"Two Sigma Investments, LP",Theon International Plc,current
0.9,NL0006237562,2026-03-27,"AQR Capital Management, LLC",ARCADIS N.V.,current
1.12,NL0010801007,2026-03-27,"Arrowstreet Capital, Limited Partnership",IMCD N.V.,current
1.09,NL0010801007,2026-03-27,"BlackRock Financial Management, Inc.",IMCD N.V.,current
0.51,NL0010801007,2026-03-27,Capital Fund Management S.A.,IMCD N.V.,current
0.7,NL0006237562,2026-03-27,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
0.59,NL0010391025,2026-03-27,"D. E. Shaw & Co., L.P.",Pharming Group N.V.,current
0.59,NL0015002MS2,2026-03-27,GLG Partners LP,The Magnum Ice Cream Company N.V.,current
0.86,NL0000379121,2026-03-27,Marshall Wace LLP,Randstad N.V.,current
0.69,NL0006237562,2026-03-26,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
1.96,NL0011821392,2026-03-26,Marshall Wace LLP,Signify N.V.,current
1.14,CY0200751713,2026-03-26,Qube Research & Technologies Ltd.,Theon International Plc,current
1.5,LU2290522684,2026-03-26,"Two Sigma Investments, LP",InPost S.A.,current
0.5,NL0010801007,2026-03-26,Voleon Capital Management LP,IMCD N.V.,current
2.92,NL0012817175,2026-03-26,"WorldQuant, LLC",Alfen N.V.,current
0.8,NL0012969182,2026-03-25,"AQR Capital Management, LLC",Adyen N.V.,current
0.5,JE00BRX98089,2026-03-25,"AQR Capital Management, LLC",CVC Capital Partners plc,current
