position_holder,net_short_position,position_date,issuer_name,isin,source
Citadel Advisors LLC,1.48,2024-08-07,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.89,2024-08-07,AMG Critical Materials N.V.,NL0000888691,archive
Ilex Capital Partners (UK) LLP,0.6,2024-08-07,Koninklijke Ahold Delhaize N.V.,NL0011794037,archive
Marshall Wace LLP,1.89,2024-08-07,AMG Critical Materials N.V.,NL0000888691,archive
Millennium Capital Partners LLP,1.64,2024-08-07,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",1.12,2024-08-07,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.7,2024-08-07,AMG Critical Materials N.V.,NL0000888691,archive
Canada Pension Plan Investment Board,0.59,2024-08-06,BE Semiconductor Industries N.V.,NL0012866412,archive
Citadel Securities (Europe) Limited,0.62,2024-08-06,Ebusco Holding N.V.,NL0015000CZ2,archive
Marshall Wace LLP,0.72,2024-08-06,Koninklijke KPN N.V.,NL0000009082,archive
Marshall Wace LLP,0.55,2024-08-06,Koninklijke Philips N.V.,NL0000009538,archive
Millennium Capital Partners LLP,1.59,2024-08-06,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",1.03,2024-08-06,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.84,2024-08-06,Flow Traders Ltd.,BMG3602E1084,archive
Qube Research & Technologies Ltd.,0.7,2024-08-06,OCI N.V.,NL0010558797,archive
AKO Capital LLP,1.48,2024-08-05,Akzo Nobel N.V.,NL0013267909,archive
AKO Capital LLP,0.94,2024-08-05,Randstad N.V.,NL0000379121,archive
AKO Capital LLP,1.1,2024-08-05,Signify N.V.,NL0011821392,archive
Balyasny Asset Management (UK) LLP,0.74,2024-08-05,Fugro N.V.,NL00150003E1,archive
Capital Fund Management S.A.,0.76,2024-08-05,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.58,2024-08-05,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,1.94,2024-08-05,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.77,2024-08-05,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.63,2024-08-05,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",0.94,2024-08-05,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",0.61,2024-08-05,Flow Traders Ltd.,BMG3602E1084,archive
Qube Research & Technologies Ltd.,1.01,2024-08-05,Basic-Fit N.V.,NL0011872650,archive
Qube Research & Technologies Ltd.,1.7,2024-08-05,Flow Traders Ltd.,BMG3602E1084,archive
"AQR Capital Management, LLC",0.6,2024-08-02,ASR Nederland N.V.,NL0011872643,archive
BlackRock Investment Management (UK) Limited,0.79,2024-08-02,Corbion N.V.,NL0010583399,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.99,2024-08-02,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.93,2024-08-02,AMG Critical Materials N.V.,NL0000888691,archive
GSA Capital Partners LLP,0.59,2024-08-02,PostNL N.V.,NL0009739416,archive
Ilex Capital Partners (UK) LLP,0.5,2024-08-02,Koninklijke Ahold Delhaize N.V.,NL0011794037,archive
Marshall Wace LLP,1.18,2024-08-02,ArcelorMittal S.A.,LU1598757687,archive
Millennium Capital Partners LLP,1.56,2024-08-02,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.19,2024-08-02,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.66,2024-08-02,Pharming Group N.V.,NL0010391025,archive
Millennium International Management LP,0.59,2024-08-02,TomTom N.V.,NL0013332471,archive
Qube Research & Technologies Ltd.,2.12,2024-08-02,Alfen N.V.,NL0012817175,archive
