position_holder,net_short_position,position_date,issuer_name,isin,source
Capital Fund Management S.A.,0.74,2024-09-12,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.5,2024-09-12,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.51,2024-09-12,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"Connor, Clark & Lunn Investment Management Ltd.",0.96,2024-09-12,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.43,2024-09-12,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.1,2024-09-12,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.95,2024-09-12,Alfen N.V.,NL0012817175,archive
SIH Partners LLLP,1.13,2024-09-12,ARCADIS N.V.,NL0006237562,archive
Voleon Capital Management LP,0.57,2024-09-12,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"AQR Capital Management, LLC",0.7,2024-09-11,ASR Nederland N.V.,NL0011872643,archive
BlackRock Investment Management (UK) Limited,1.26,2024-09-11,Basic-Fit N.V.,NL0011872650,archive
Capital Fund Management S.A.,0.89,2024-09-11,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.47,2024-09-11,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,1.25,2024-09-11,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.88,2024-09-11,PostNL N.V.,NL0009739416,archive
Millennium International Management LP,2.07,2024-09-11,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.12,2024-09-11,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.0,2024-09-11,PostNL N.V.,NL0009739416,archive
Systematica Investments Limited,0.5,2024-09-11,Alfen N.V.,NL0012817175,archive
TFG Asset Management UK LLP,0.57,2024-09-11,Fugro N.V.,NL0000352565,archive
Voleon Capital Management LP,0.77,2024-09-11,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Acadian Asset Management LLC.,0.52,2024-09-10,AMG Critical Materials N.V.,NL0000888691,archive
BlackRock Investment Management (UK) Limited,1.42,2024-09-10,Basic-Fit N.V.,NL0011872650,archive
Citadel Advisors LLC,1.52,2024-09-10,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.7,2024-09-10,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"Cubist Systematic Strategies, LLC",0.58,2024-09-10,Alfen N.V.,NL0012817175,archive
Millennium Capital Partners LLP,2.01,2024-09-10,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.2,2024-09-10,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.51,2024-09-10,TomTom N.V.,NL0013332471,archive
SIH Partners LLLP,0.61,2024-09-10,Alfen N.V.,NL0012817175,archive
Capital Fund Management S.A.,0.92,2024-09-09,AMG Critical Materials N.V.,NL0000888691,archive
"Cubist Systematic Strategies, LLC",0.65,2024-09-09,Alfen N.V.,NL0012817175,archive
GSA Capital Partners LLP,0.49,2024-09-09,PostNL N.V.,NL0009739416,archive
Marshall Wace LLP,0.5,2024-09-09,Akzo Nobel N.V.,NL0013267909,archive
Millennium International Management LP,1.93,2024-09-09,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.72,2024-09-09,Pharming Group N.V.,NL0010391025,archive
Qube Research & Technologies Ltd.,2.18,2024-09-09,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.89,2024-09-09,Flow Traders Ltd.,BMG3602E1084,archive
Qube Research & Technologies Ltd.,0.99,2024-09-09,PostNL N.V.,NL0009739416,archive
SIH Partners LLLP,0.99,2024-09-09,ARCADIS N.V.,NL0006237562,archive
"AQR Capital Management, LLC",0.6,2024-09-06,AMG Critical Materials N.V.,NL0000888691,archive
"Arrowstreet Capital, Limited Partnership",1.82,2024-09-06,Alfen N.V.,NL0012817175,archive
Capital Fund Management S.A.,1.03,2024-09-06,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.78,2024-09-06,ArcelorMittal S.A.,LU1598757687,archive
Millennium Capital Partners LLP,1.92,2024-09-06,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.86,2024-09-06,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.0,2024-09-06,OCI N.V.,NL0010558797,archive
Qube Research & Technologies Ltd.,1.01,2024-09-06,PostNL N.V.,NL0009739416,archive
SIH Partners LLLP,0.81,2024-09-06,ARCADIS N.V.,NL0006237562,archive
Citadel Advisors LLC,1.47,2024-09-05,Alfen N.V.,NL0012817175,archive
"Connor, Clark & Lunn Investment Management Ltd.",1.0,2024-09-05,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,0.49,2024-09-05,TomTom N.V.,NL0013332471,archive
Millennium International Management LP,1.9,2024-09-05,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.27,2024-09-05,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.98,2024-09-05,PostNL N.V.,NL0009739416,archive
SIH Partners LLLP,0.5,2024-09-05,Alfen N.V.,NL0012817175,archive
SIH Partners LLLP,0.91,2024-09-05,ARCADIS N.V.,NL0006237562,archive
Voleon Capital Management LP,0.87,2024-09-05,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Citadel Advisors LLC,1.38,2024-09-04,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.53,2024-09-04,Avantium N.V.,NL0012047823,archive
Citadel Securities (Europe) Limited,0.63,2024-09-04,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"Cubist Systematic Strategies, LLC",0.72,2024-09-04,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,1.0,2024-09-04,Koninklijke KPN N.V.,NL0000009082,archive
Millennium Capital Partners LLP,1.82,2024-09-04,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.85,2024-09-04,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.33,2024-09-04,Alfen N.V.,NL0012817175,archive
SIH Partners LLLP,0.73,2024-09-04,ARCADIS N.V.,NL0006237562,archive
Citadel Securities (Europe) Limited,0.51,2024-09-03,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
"Cubist Systematic Strategies, LLC",0.63,2024-09-03,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.79,2024-09-03,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.42,2024-09-03,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.04,2024-09-03,AMG Critical Materials N.V.,NL0000888691,archive
Capital Fund Management S.A.,0.95,2024-09-02,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Securities (Europe) Limited,0.69,2024-09-02,Ebusco Holding N.V.,NL0015000CZ2,archive
Marshall Wace LLP,1.38,2024-09-02,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.89,2024-09-02,ArcelorMittal S.A.,LU1598757687,archive
Millennium Capital Partners LLP,1.73,2024-09-02,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",1.8,2024-09-02,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.34,2024-09-02,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.92,2024-09-02,OCI N.V.,NL0010558797,archive
Qube Research & Technologies Ltd.,1.0,2024-09-02,PostNL N.V.,NL0009739416,archive
AKO Capital LLP,1.51,2024-08-30,Akzo Nobel N.V.,NL0013267909,archive
"AQR Capital Management, LLC",0.48,2024-08-30,SBM Offshore N.V.,NL0000360618,archive
Balyasny Asset Management (UK) LLP,0.67,2024-08-30,SBM Offshore N.V.,NL0000360618,archive
Citadel Securities (Europe) Limited,0.75,2024-08-30,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.5,2024-08-30,Alfen N.V.,NL0012817175,archive
Franklin Templeton Investment Management Limited,0.44,2024-08-30,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.68,2024-08-30,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.83,2024-08-30,OCI N.V.,NL0010558797,archive
Teacher Retirement System of Texas,0.83,2024-08-30,Alfen N.V.,NL0012817175,archive
Teacher Retirement System of Texas,0.55,2024-08-30,AMG Critical Materials N.V.,NL0000888691,archive
Voleon Capital Management LP,0.99,2024-08-30,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Citadel Advisors LLC,1.48,2024-08-29,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.66,2024-08-29,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.47,2024-08-29,Alfen N.V.,NL0012817175,archive
Millennium Capital Partners LLP,1.7,2024-08-29,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.26,2024-08-29,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.99,2024-08-29,PostNL N.V.,NL0009739416,archive
SIH Partners LLLP,1.0,2024-08-29,ARCADIS N.V.,NL0006237562,archive
"AQR Capital Management, LLC",0.5,2024-08-28,IMCD N.V.,NL0010801007,archive
Marshall Wace LLP,1.49,2024-08-28,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.59,2024-08-28,TomTom N.V.,NL0013332471,archive
Millennium International Management LP,1.88,2024-08-28,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.61,2024-08-28,Pharming Group N.V.,NL0010391025,archive
Qube Research & Technologies Ltd.,0.63,2024-08-28,Avantium N.V.,NL0012047823,archive
SIH Partners LLLP,0.89,2024-08-28,ARCADIS N.V.,NL0006237562,archive
Citadel Advisors LLC,1.57,2024-08-27,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.74,2024-08-27,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,0.98,2024-08-27,ArcelorMittal S.A.,LU1598757687,archive
Qube Research & Technologies Ltd.,2.3,2024-08-27,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.7,2024-08-27,OCI N.V.,NL0010558797,archive
Citadel Securities (Europe) Limited,0.61,2024-08-26,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.53,2024-08-26,Avantium N.V.,NL0012047823,archive
Citadel Advisors LLC,1.4,2024-08-23,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.49,2024-08-23,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.59,2024-08-23,Alfen N.V.,NL0012817175,archive
Franklin Templeton Investment Management Limited,0.59,2024-08-23,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.66,2024-08-23,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",1.71,2024-08-23,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.16,2024-08-23,Alfen N.V.,NL0012817175,archive
SIH Partners LLLP,0.72,2024-08-23,ARCADIS N.V.,NL0006237562,archive
Capital Fund Management S.A.,0.8,2024-08-22,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.5,2024-08-22,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,0.59,2024-08-22,TomTom N.V.,NL0013332471,archive
Citadel Securities (Europe) Limited,0.72,2024-08-22,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.93,2024-08-22,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.59,2024-08-22,AMG Critical Materials N.V.,NL0000888691,archive
Millennium International Management LP,1.94,2024-08-22,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",1.67,2024-08-22,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.32,2024-08-22,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.5,2024-08-22,Aperam S.A.,LU0569974404,archive
"AQR Capital Management, LLC",0.51,2024-08-21,AMG Critical Materials N.V.,NL0000888691,archive
"AQR Capital Management, LLC",0.49,2024-08-21,IMCD N.V.,NL0010801007,archive
Capital Fund Management S.A.,0.78,2024-08-21,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.46,2024-08-21,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.49,2024-08-21,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.88,2024-08-21,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.07,2024-08-21,ArcelorMittal S.A.,LU1598757687,archive
Millennium International Management LP,2.0,2024-08-21,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,0.49,2024-08-21,TomTom N.V.,NL0013332471,archive
SIH Partners LLLP,0.63,2024-08-21,ARCADIS N.V.,NL0006237562,archive
Canada Pension Plan Investment Board,0.5,2024-08-20,BE Semiconductor Industries N.V.,NL0012866412,archive
Citadel Advisors LLC,1.5,2024-08-20,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.56,2024-08-20,Alfen N.V.,NL0012817175,archive
Franklin Templeton Investment Management Limited,0.49,2024-08-20,Basic-Fit N.V.,NL0011872650,archive
Millennium Capital Partners LLP,1.79,2024-08-20,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,1.9,2024-08-20,Flow Traders Ltd.,BMG3602E1084,archive
SIH Partners LLLP,0.59,2024-08-20,ARCADIS N.V.,NL0006237562,archive
Citadel Advisors LLC,1.44,2024-08-19,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,0.98,2024-08-19,PostNL N.V.,NL0009739416,archive
"PDT Partners, LLC",1.53,2024-08-19,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.68,2024-08-19,OCI N.V.,NL0010558797,archive
SIH Partners LLLP,0.61,2024-08-19,ARCADIS N.V.,NL0006237562,archive
Capital Fund Management S.A.,0.81,2024-08-16,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.53,2024-08-16,Alfen N.V.,NL0012817175,archive
"D. E. Shaw & Co., L.P.",0.95,2024-08-16,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,1.0,2024-08-16,PostNL N.V.,NL0009739416,archive
Qube Research & Technologies Ltd.,1.9,2024-08-16,AMG Critical Materials N.V.,NL0000888691,archive
SIH Partners LLLP,0.56,2024-08-16,ARCADIS N.V.,NL0006237562,archive
Voleon Capital Management LP,1.09,2024-08-16,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Capital Fund Management S.A.,0.76,2024-08-15,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.45,2024-08-15,Alfen N.V.,NL0012817175,archive
Citadel Advisors LLC,0.6,2024-08-15,TomTom N.V.,NL0013332471,archive
Citadel Securities (Europe) Limited,0.63,2024-08-15,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.71,2024-08-15,Ebusco Holding N.V.,NL0015000CZ2,archive
"D. E. Shaw & Co., L.P.",0.88,2024-08-15,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.9,2024-08-15,Koninklijke KPN N.V.,NL0000009082,archive
Millennium Capital Partners LLP,1.85,2024-08-15,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.59,2024-08-15,Pharming Group N.V.,NL0010391025,archive
"PDT Partners, LLC",0.58,2024-08-15,Flow Traders Ltd.,BMG3602E1084,archive
Citadel Advisors LLC,1.54,2024-08-14,Alfen N.V.,NL0012817175,archive
"Cubist Systematic Strategies, LLC",0.74,2024-08-14,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,0.69,2024-08-14,TomTom N.V.,NL0013332471,archive
"PDT Partners, LLC",1.48,2024-08-14,Alfen N.V.,NL0012817175,archive
Wellington Management International Ltd.,0.71,2024-08-14,Basic-Fit N.V.,NL0011872650,archive
"Arrowstreet Capital, Limited Partnership",1.39,2024-08-13,Lakefront Biotherapeutics NV,BE0003818359,archive
BlackRock Investment Management (UK) Limited,1.59,2024-08-13,Basic-Fit N.V.,NL0011872650,archive
Capital Fund Management S.A.,0.85,2024-08-13,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,1.45,2024-08-13,Alfen N.V.,NL0012817175,archive
Marshall Wace LLP,1.67,2024-08-13,AMG Critical Materials N.V.,NL0000888691,archive
Marshall Wace LLP,0.99,2024-08-13,PostNL N.V.,NL0009739416,archive
Millennium International Management LP,1.69,2024-08-13,Pharming Group N.V.,NL0010391025,archive
Qube Research & Technologies Ltd.,1.82,2024-08-13,AMG Critical Materials N.V.,NL0000888691,archive
Capital Fund Management S.A.,0.73,2024-08-12,AMG Critical Materials N.V.,NL0000888691,archive
"Cubist Systematic Strategies, LLC",0.64,2024-08-12,Alfen N.V.,NL0012817175,archive
