net_short_position,issuer_name,position_holder,position_date,isin,source
0.51,Galapagos NV,AHL Partners LLP,2021-07-22,BE0003818359,archive
2.04,Eurocommercial Properties N.V.,Adelphi Capital LLP,2021-07-21,NL0000288876,archive
1.93,Eurocommercial Properties N.V.,Adelphi Capital LLP,2021-07-20,NL0000288876,archive
0.92,ABN AMRO Bank NV,Marshall Wace LLP,2021-07-20,NL0011540547,archive
1.84,Eurocommercial Properties N.V.,Adelphi Capital LLP,2021-07-19,NL0000288876,archive
0.69,STMicroelectronics N.V.,BNP Paribas S.A.,2021-07-19,NL0000226223,archive
0.7,Aperam S.A.,Millennium Capital Partners LLP,2021-07-19,LU0569974404,archive
0.69,Alfen N.V.,Marshall Wace LLP,2021-07-16,NL0012817175,archive
0.42,Signify N.V.,Millennium International Management LP,2021-07-16,NL0011821392,archive
0.55,Galapagos NV,Qube Research & Technologies Ltd.,2021-07-16,BE0003818359,archive
0.77,Wereldhave N.V.,Toscafund Asset Management LLP,2021-07-16,NL0000289213,archive
0.49,Basic-Fit N.V.,BNP Paribas S.A.,2021-07-15,NL0011872650,archive
0.65,Wereldhave N.V.,Toscafund Asset Management LLP,2021-07-15,NL0000289213,archive
0.89,ABN AMRO Bank NV,Marshall Wace LLP,2021-07-14,NL0011540547,archive
0.52,Basic-Fit N.V.,Highbridge Capital Management LLC,2021-07-13,NL0011872650,archive
0.59,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-07-09,NL0000888691,archive
0.79,Alfen N.V.,Marshall Wace LLP,2021-07-09,NL0012817175,archive
1.07,Pharming Group N.V.,"Great Point Partners, LLC",2021-07-08,NL0010391025,archive
0.78,STMicroelectronics N.V.,BNP Paribas S.A.,2021-07-07,NL0000226223,archive
1.73,Pharming Group N.V.,"Great Point Partners, LLC",2021-07-07,NL0010391025,archive
0.9,ABN AMRO Bank NV,Marshall Wace LLP,2021-07-07,NL0011540547,archive
0.47,Pharming Group N.V.,"WorldQuant, LLC",2021-07-07,NL0010391025,archive
0.6,Aperam S.A.,Millennium Capital Partners LLP,2021-07-06,LU0569974404,archive
0.49,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,2021-07-05,NL0011794037,archive
0.68,STMicroelectronics N.V.,Sculptor Capital Management Europe Limited,2021-07-05,NL0000226223,archive
0.5,Pharming Group N.V.,"WorldQuant, LLC",2021-07-05,NL0010391025,archive
0.69,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-07-02,NL0000888691,archive
0.49,Pharming Group N.V.,"PDT Partners, LLC",2021-07-02,NL0010391025,archive
0.8,Alfen N.V.,Marshall Wace LLP,2021-07-01,NL0012817175,archive
0.61,STMicroelectronics N.V.,BNP Paribas S.A.,2021-06-30,NL0000226223,archive
0.49,Basic-Fit N.V.,Highbridge Capital Management LLC,2021-06-30,NL0011872650,archive
0.5,Pharming Group N.V.,"PDT Partners, LLC",2021-06-30,NL0010391025,archive
0.49,IMCD N.V.,"AQR Capital Management, LLC",2021-06-29,NL0010801007,archive
0.57,Basic-Fit N.V.,BNP Paribas S.A.,2021-06-29,NL0011872650,archive
0.59,STMicroelectronics N.V.,BNP Paribas S.A.,2021-06-29,NL0000226223,archive
0.49,Pharming Group N.V.,"PDT Partners, LLC",2021-06-29,NL0010391025,archive
0.9,AMG Critical Materials N.V.,Systematica Investments Limited,2021-06-29,NL0000888691,archive
0.49,Pharming Group N.V.,"WorldQuant, LLC",2021-06-28,NL0010391025,archive
0.6,Basic-Fit N.V.,BNP Paribas S.A.,2021-06-25,NL0011872650,archive
0.89,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-25,NL0011540547,archive
0.89,AMG Critical Materials N.V.,Systematica Investments Limited,2021-06-25,NL0000888691,archive
0.7,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-06-24,NL0000888691,archive
1.95,ArcelorMittal S.A.,B&G Master Fund Plc,2021-06-23,LU1598757687,archive
0.92,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-23,NL0011540547,archive
1.02,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-06-22,NL0012817175,archive
0.59,Basic-Fit N.V.,BNP Paribas S.A.,2021-06-22,NL0011872650,archive
0.7,Alfen N.V.,Marshall Wace LLP,2021-06-22,NL0012817175,archive
0.54,Pharming Group N.V.,"WorldQuant, LLC",2021-06-22,NL0010391025,archive
0.86,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-21,NL0011540547,archive
0.9,AMG Critical Materials N.V.,Systematica Investments Limited,2021-06-21,NL0000888691,archive
0.69,Alfen N.V.,Marshall Wace LLP,2021-06-18,NL0012817175,archive
0.58,Signify N.V.,Millennium International Management LP,2021-06-18,NL0011821392,archive
0.28,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-06-17,NL0012866412,archive
0.8,SBM Offshore N.V.,Marshall Wace Asia Limited,2021-06-17,NL0000360618,archive
0.91,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-17,NL0011540547,archive
0.9,SBM Offshore N.V.,Marshall Wace LLP,2021-06-17,NL0000360618,archive
0.0,Galapagos NV,Avidity Partners Management LP,2021-06-16,BE0003818359,archive
0.61,Basic-Fit N.V.,BNP Paribas S.A.,2021-06-16,NL0011872650,archive
0.72,Alfen N.V.,Marshall Wace LLP,2021-06-16,NL0012817175,archive
0.49,Signify N.V.,Millennium Capital Partners LLP,2021-06-16,NL0011821392,archive
0.61,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-06-15,NL0000888691,archive
0.52,Basic-Fit N.V.,Highbridge Capital Management LLC,2021-06-14,NL0011872650,archive
0.61,Signify N.V.,Millennium International Management LP,2021-06-14,NL0011821392,archive
1.85,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-06-11,NL0012866412,archive
0.81,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-11,NL0011540547,archive
0.5,Signify N.V.,Millennium Capital Partners LLP,2021-06-11,NL0011821392,archive
1.95,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-06-10,NL0012866412,archive
0.49,ARCADIS N.V.,Marshall Wace LLP,2021-06-09,NL0006237562,archive
0.6,Alfen N.V.,Marshall Wace LLP,2021-06-08,NL0012817175,archive
0.91,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-06-07,NL0012817175,archive
0.72,ABN AMRO Bank NV,Marshall Wace LLP,2021-06-04,NL0011540547,archive
0.51,Alfen N.V.,Marshall Wace LLP,2021-06-03,NL0012817175,archive
0.69,Signify N.V.,Millennium Capital Partners LLP,2021-06-03,NL0011821392,archive
0.98,Pharming Group N.V.,Linden Advisors LP,2021-06-01,NL0010391025,archive
0.89,SBM Offshore N.V.,Marshall Wace LLP,2021-05-31,NL0000360618,archive
0.52,Galapagos NV,Avidity Partners Management LP,2021-05-28,BE0003818359,archive
0.5,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-05-28,NL0000888691,archive
0.61,ABN AMRO Bank NV,Marshall Wace LLP,2021-05-28,NL0011540547,archive
0.55,ABN AMRO Bank NV,Marshall Wace LLP,2021-05-27,NL0011540547,archive
0.58,ARCADIS N.V.,Marshall Wace LLP,2021-05-27,NL0006237562,archive
0.91,SBM Offshore N.V.,Marshall Wace LLP,2021-05-27,NL0000360618,archive
0.0,Galapagos NV,Millennium International Management LP,2021-05-27,BE0003818359,archive
0.98,Galapagos NV,Millennium International Management LP,2021-05-26,BE0003818359,archive
1.69,Eurocommercial Properties N.V.,Adelphi Capital LLP,2021-05-25,NL0000288876,archive
2.86,Wereldhave N.V.,Adelphi Capital LLP,2021-05-25,NL0000289213,archive
0.67,Galapagos NV,Avidity Partners Management LP,2021-05-25,BE0003818359,archive
0.48,Signify N.V.,Citadel Europe LLP,2021-05-25,NL0011821392,archive
0.89,AMG Critical Materials N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2021-05-25,NL0000888691,archive
0.83,Galapagos NV,Millennium International Management LP,2021-05-25,BE0003818359,archive
0.6,ARCADIS N.V.,Marshall Wace LLP,2021-05-24,NL0006237562,archive
0.68,Galapagos NV,Millennium International Management LP,2021-05-24,BE0003818359,archive
0.44,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-05-21,NL0000888691,archive
0.59,ARCADIS N.V.,Marshall Wace LLP,2021-05-21,NL0006237562,archive
0.53,Galapagos NV,Millennium International Management LP,2021-05-21,BE0003818359,archive
0.51,IMCD N.V.,"AQR Capital Management, LLC",2021-05-20,NL0010801007,archive
0.8,AMG Critical Materials N.V.,Systematica Investments Limited,2021-05-20,NL0000888691,archive
0.7,Galapagos NV,Avidity Partners Management LP,2021-05-19,BE0003818359,archive
2.0,ArcelorMittal S.A.,B&G Master Fund Plc,2021-05-19,LU1598757687,archive
0.59,Aperam S.A.,Citadel Europe LLP,2021-05-19,LU0569974404,archive
0.46,ABN AMRO Bank NV,Marshall Wace LLP,2021-05-19,NL0011540547,archive
0.59,Pharming Group N.V.,"PDT Partners, LLC",2021-05-19,NL0010391025,archive
0.52,Koninklijke Ahold Delhaize N.V.,Marshall Wace LLP,2021-05-18,NL0011794037,archive
0.48,Fugro N.V.,"WorldQuant, LLC",2021-05-18,NL00150004A7,archive
1.99,ArcelorMittal S.A.,B&G Master Fund Plc,2021-05-17,LU1598757687,archive
0.61,Aperam S.A.,Citadel Europe LLP,2021-05-17,LU0569974404,archive
0.47,Signify N.V.,"Farallon Capital Management, L.L.C.",2021-05-17,NL0011821392,archive
0.58,Signify N.V.,Millennium International Management LP,2021-05-17,NL0011821392,archive
0.5,Galapagos NV,"AQR Capital Management, LLC",2021-05-14,BE0003818359,archive
0.6,Signify N.V.,Millennium International Management LP,2021-05-14,NL0011821392,archive
0.0,Euronext N.V.,B&G Master Fund Plc,2021-05-13,NL0006294274,archive
0.55,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-05-13,NL0000888691,archive
0.8,SBM Offshore N.V.,Marshall Wace LLP,2021-05-13,NL0000360618,archive
0.72,Signify N.V.,Millennium Capital Partners LLP,2021-05-13,NL0011821392,archive
0.66,Pharming Group N.V.,"PDT Partners, LLC",2021-05-13,NL0010391025,archive
2.0,ArcelorMittal S.A.,B&G Master Fund Plc,2021-05-12,LU1598757687,archive
2.31,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-05-12,NL0012866412,archive
0.58,ABN AMRO Bank NV,Marshall Wace LLP,2021-05-12,NL0011540547,archive
0.59,Signify N.V.,Millennium International Management LP,2021-05-12,NL0011821392,archive
0.68,Signify N.V.,Millennium Capital Partners LLP,2021-05-11,NL0011821392,archive
0.49,Pharming Group N.V.,"PDT Partners, LLC",2021-05-11,NL0010391025,archive
0.49,SBM Offshore N.V.,"AQR Capital Management, LLC",2021-05-10,NL0000360618,archive
0.5,Aperam S.A.,Citadel Europe LLP,2021-05-10,LU0569974404,archive
0.58,Fugro N.V.,"WorldQuant, LLC",2021-05-10,NL00150004A7,archive
0.48,Aperam S.A.,Citadel Europe LLP,2021-05-07,LU0569974404,archive
0.7,Euronext N.V.,B&G Master Fund Plc,2021-05-06,NL0006294274,archive
0.46,Koninklijke KPN N.V.,"D. E. Shaw & Co. (London), LLP",2021-05-06,NL0000009082,archive
0.68,ABN AMRO Bank NV,Marshall Wace LLP,2021-05-06,NL0011540547,archive
0.64,Euronext N.V.,B&G Master Fund Plc,2021-05-05,NL0006294274,archive
2.24,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-05-05,NL0012866412,archive
0.48,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-05-05,NL0012866412,archive
0.26,Euronext N.V.,"Samlyn Capital, LLC",2021-05-04,NL0006294274,archive
0.7,SBM Offshore N.V.,Marshall Wace Asia Limited,2021-05-03,NL0000360618,archive
0.79,SBM Offshore N.V.,Marshall Wace LLP,2021-05-03,NL0000360618,archive
0.55,Euronext N.V.,"Samlyn Capital, LLC",2021-05-03,NL0006294274,archive
0.5,Signify N.V.,Citadel Europe LLP,2021-04-30,NL0011821392,archive
0.7,Signify N.V.,Millennium Capital Partners LLP,2021-04-30,NL0011821392,archive
0.69,Signify N.V.,Millennium International Management LP,2021-04-30,NL0011821392,archive
0.82,Euronext N.V.,"Samlyn Capital, LLC",2021-04-30,NL0006294274,archive
0.45,Basic-Fit N.V.,Marshall Wace LLP,2021-04-29,NL0011872650,archive
0.66,Signify N.V.,Millennium Capital Partners LLP,2021-04-29,NL0011821392,archive
1.48,Pharming Group N.V.,Pictet Asset Management Limited,2021-04-29,NL0010391025,archive
0.56,Euronext N.V.,"Samlyn Capital, LLC",2021-04-29,NL0006294274,archive
0.71,STMicroelectronics N.V.,Sculptor Capital Management Europe Limited,2021-04-29,NL0000226223,archive
0.63,Fugro N.V.,"WorldQuant, LLC",2021-04-29,NL00150004A7,archive
0.69,ARCADIS N.V.,Marshall Wace LLP,2021-04-28,NL0006237562,archive
0.53,Basic-Fit N.V.,Marshall Wace LLP,2021-04-27,NL0011872650,archive
0.73,Fugro N.V.,"WorldQuant, LLC",2021-04-27,NL00150004A7,archive
0.01,BE Semiconductor Industries N.V.,GLG Partners LP,2021-04-26,NL0012866412,archive
0.49,Koninklijke Vopak N.V.,"Point72 Europe (London), LLP",2021-04-26,NL0009432491,archive
0.47,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2021-04-23,NL0011872650,archive
0.77,ABN AMRO Bank NV,Marshall Wace LLP,2021-04-23,NL0011540547,archive
0.42,ArcelorMittal S.A.,Polar Asset Management Partners Inc.,2021-04-23,LU1598757687,archive
0.61,Fugro N.V.,"WorldQuant, LLC",2021-04-23,NL00150004A7,archive
0.78,ARCADIS N.V.,Marshall Wace LLP,2021-04-22,NL0006237562,archive
2.12,BE Semiconductor Industries N.V.,Citadel Europe LLP,2021-04-21,NL0012866412,archive
0.52,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-04-21,NL0012866412,archive
0.53,Koninklijke Vopak N.V.,"Point72 Europe (London), LLP",2021-04-21,NL0009432491,archive
0.82,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-04-20,NL0012817175,archive
0.51,Aperam S.A.,Citadel Europe LLP,2021-04-20,LU0569974404,archive
0.72,Signify N.V.,Millennium Capital Partners LLP,2021-04-20,NL0011821392,archive
0.49,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-04-16,NL0012866412,archive
0.5,Fugro N.V.,"WorldQuant, LLC",2021-04-16,NL00150004A7,archive
0.64,Galapagos NV,Avidity Partners Management LP,2021-04-14,BE0003818359,archive
0.96,AMG Critical Materials N.V.,"Connor, Clark & Lunn Investment Management Ltd.",2021-04-14,NL0000888691,archive
0.86,ABN AMRO Bank NV,Marshall Wace LLP,2021-04-14,NL0011540547,archive
0.48,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2021-04-14,NL0000337319,archive
0.72,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-04-13,NL0012817175,archive
0.47,Galapagos NV,"WorldQuant, LLC",2021-04-13,BE0003818359,archive
0.49,Aperam S.A.,Citadel Europe LLP,2021-04-12,LU0569974404,archive
0.8,SBM Offshore N.V.,Marshall Wace LLP,2021-04-12,NL0000360618,archive
0.51,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-04-12,NL0012866412,archive
0.5,Galapagos NV,"WorldQuant, LLC",2021-04-12,BE0003818359,archive
0.49,IMCD N.V.,"AQR Capital Management, LLC",2021-04-09,NL0010801007,archive
0.92,ABN AMRO Bank NV,Marshall Wace LLP,2021-04-09,NL0011540547,archive
0.49,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-04-09,NL0012866412,archive
0.49,Galapagos NV,"WorldQuant, LLC",2021-04-09,BE0003818359,archive
0.5,IMCD N.V.,"AQR Capital Management, LLC",2021-04-08,NL0010801007,archive
0.9,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2021-04-08,NL0012866412,archive
0.0,AMG Critical Materials N.V.,JPMorgan Asset Management (UK) Ltd.,2021-04-08,NL0000888691,archive
1.0,ABN AMRO Bank NV,Marshall Wace LLP,2021-04-08,NL0011540547,archive
0.9,Basic-Fit N.V.,Marshall Wace LLP,2021-04-08,NL0011872650,archive
0.49,TomTom N.V.,Marshall Wace LLP,2021-04-08,NL0013332471,archive
0.58,Pharming Group N.V.,"PDT Partners, LLC",2021-04-08,NL0010391025,archive
0.79,AMG Critical Materials N.V.,JPMorgan Asset Management (UK) Ltd.,2021-04-07,NL0000888691,archive
0.49,IMCD N.V.,"AQR Capital Management, LLC",2021-04-06,NL0010801007,archive
0.0,BE Semiconductor Industries N.V.,CQS (UK) LLP,2021-04-06,NL0012866412,archive
0.49,ARCADIS N.V.,Marshall Wace Asia Limited,2021-04-06,NL0006237562,archive
0.89,ARCADIS N.V.,Marshall Wace LLP,2021-04-06,NL0006237562,archive
0.69,Signify N.V.,Millennium Capital Partners LLP,2021-04-06,NL0011821392,archive
0.51,BE Semiconductor Industries N.V.,Mirabella Financial Services LLP,2021-04-06,NL0012866412,archive
0.89,ARCADIS N.V.,Lansdowne Partners (UK) LLP,2021-04-01,NL0006237562,archive
0.99,ABN AMRO Bank NV,Marshall Wace LLP,2021-04-01,NL0011540547,archive
0.79,SBM Offshore N.V.,Marshall Wace LLP,2021-04-01,NL0000360618,archive
1.78,Eurocommercial Properties N.V.,Adelphi Capital LLP,2021-03-31,NL0000288876,archive
0.6,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-03-31,NL0012817175,archive
0.57,Basic-Fit N.V.,JPMorgan Asset Management (UK) Ltd.,2021-03-31,NL0011872650,archive
1.0,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-31,NL0011540547,archive
0.51,Galapagos NV,"WorldQuant, LLC",2021-03-31,BE0003818359,archive
0.5,TomTom N.V.,Marshall Wace LLP,2021-03-30,NL0013332471,archive
0.71,Signify N.V.,Millennium Capital Partners LLP,2021-03-30,NL0011821392,archive
0.49,Fugro N.V.,"WorldQuant, LLC",2021-03-30,NL00150004A7,archive
0.59,Galapagos NV,Avidity Partners Management LP,2021-03-29,BE0003818359,archive
0.49,TomTom N.V.,Marshall Wace LLP,2021-03-26,NL0013332471,archive
0.51,Fugro N.V.,"WorldQuant, LLC",2021-03-26,NL00150004A7,archive
0.5,IMCD N.V.,"AQR Capital Management, LLC",2021-03-25,NL0010801007,archive
0.68,Galapagos NV,Avidity Partners Management LP,2021-03-25,BE0003818359,archive
1.89,ArcelorMittal S.A.,B&G Master Fund Plc,2021-03-25,LU1598757687,archive
0.97,ARCADIS N.V.,Marshall Wace LLP,2021-03-25,NL0006237562,archive
0.5,TomTom N.V.,Marshall Wace LLP,2021-03-25,NL0013332471,archive
0.5,Alfen N.V.,"Arrowstreet Capital, Limited Partnership",2021-03-24,NL0012817175,archive
0.71,Galapagos NV,Avidity Partners Management LP,2021-03-24,BE0003818359,archive
0.57,Aperam S.A.,Citadel Europe LLP,2021-03-23,LU0569974404,archive
0.59,ARCADIS N.V.,Marshall Wace Asia Limited,2021-03-23,NL0006237562,archive
1.17,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-23,NL0011540547,archive
1.28,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-22,NL0011540547,archive
0.6,Pharming Group N.V.,"PDT Partners, LLC",2021-03-22,NL0010391025,archive
0.66,SBM Offshore N.V.,Marshall Wace Asia Limited,2021-03-19,NL0000360618,archive
0.82,SBM Offshore N.V.,Marshall Wace LLP,2021-03-19,NL0000360618,archive
0.63,Signify N.V.,Millennium Capital Partners LLP,2021-03-19,NL0011821392,archive
0.72,Signify N.V.,Millennium International Management LP,2021-03-19,NL0011821392,archive
1.08,ARCADIS N.V.,Marshall Wace LLP,2021-03-18,NL0006237562,archive
0.46,Pharming Group N.V.,"WorldQuant, LLC",2021-03-18,NL0010391025,archive
0.68,ARCADIS N.V.,Marshall Wace Asia Limited,2021-03-16,NL0006237562,archive
1.32,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-16,NL0011540547,archive
0.58,Signify N.V.,Millennium Capital Partners LLP,2021-03-16,NL0011821392,archive
0.46,Signify N.V.,Millennium International Management LP,2021-03-16,NL0011821392,archive
0.58,Pharming Group N.V.,"WorldQuant, LLC",2021-03-16,NL0010391025,archive
1.29,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-15,NL0011540547,archive
0.79,AMG Critical Materials N.V.,Systematica Investments Limited,2021-03-15,NL0000888691,archive
0.61,Signify N.V.,Millennium Capital Partners LLP,2021-03-12,NL0011821392,archive
0.52,Signify N.V.,Millennium International Management LP,2021-03-12,NL0011821392,archive
0.69,Pharming Group N.V.,"WorldQuant, LLC",2021-03-12,NL0010391025,archive
1.35,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-11,NL0011540547,archive
0.59,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2021-03-11,NL0000337319,archive
0.49,Signify N.V.,Millennium International Management LP,2021-03-11,NL0011821392,archive
0.53,Koninklijke KPN N.V.,"D. E. Shaw & Co. (London), LLP",2021-03-10,NL0000009082,archive
0.74,ARCADIS N.V.,Marshall Wace Asia Limited,2021-03-10,NL0006237562,archive
1.19,ARCADIS N.V.,Marshall Wace LLP,2021-03-10,NL0006237562,archive
0.72,Pharming Group N.V.,"WorldQuant, LLC",2021-03-10,NL0010391025,archive
0.84,AMG Critical Materials N.V.,JPMorgan Asset Management (UK) Ltd.,2021-03-09,NL0000888691,archive
0.47,Galapagos NV,"WorldQuant, LLC",2021-03-09,BE0003818359,archive
0.89,ARCADIS N.V.,Marshall Wace Asia Limited,2021-03-08,NL0006237562,archive
1.37,ARCADIS N.V.,Marshall Wace LLP,2021-03-08,NL0006237562,archive
0.61,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2021-03-08,NL0000337319,archive
0.48,Signify N.V.,Millennium Capital Partners LLP,2021-03-08,NL0011821392,archive
0.43,ABN AMRO Bank NV,"Samlyn Capital, LLC",2021-03-08,NL0011540547,archive
0.63,Aperam S.A.,Citadel Europe LLP,2021-03-05,LU0569974404,archive
1.51,Pharming Group N.V.,Pictet Asset Management Limited,2021-03-05,NL0010391025,archive
0.45,Pharming Group N.V.,Woodline Partners,2021-03-05,NL0010391025,archive
0.6,Pharming Group N.V.,"WorldQuant, LLC",2021-03-05,NL0010391025,archive
0.53,Aperam S.A.,Citadel Europe LLP,2021-03-04,LU0569974404,archive
0.99,ARCADIS N.V.,Marshall Wace Asia Limited,2021-03-04,NL0006237562,archive
1.45,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-04,NL0011540547,archive
0.54,Koninklijke BAM Groep N.V.,Marshall Wace LLP,2021-03-04,NL0000337319,archive
0.47,Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2021-03-04,FR0013326246,archive
0.58,Wereldhave N.V.,Toscafund Asset Management LLP,2021-03-04,NL0000289213,archive
0.52,Pharming Group N.V.,"WorldQuant, LLC",2021-03-04,NL0010391025,archive
0.48,Wereldhave N.V.,"Athanor Capital, LP",2021-03-03,NL0000289213,archive
0.43,Aperam S.A.,Citadel Europe LLP,2021-03-03,LU0569974404,archive
1.38,ABN AMRO Bank NV,Marshall Wace LLP,2021-03-03,NL0011540547,archive
1.49,ARCADIS N.V.,Marshall Wace LLP,2021-03-03,NL0006237562,archive
0.9,SBM Offshore N.V.,Marshall Wace LLP,2021-03-03,NL0000360618,archive
0.63,Pharming Group N.V.,"WorldQuant, LLC",2021-03-03,NL0010391025,archive
0.61,Galapagos NV,Avidity Partners Management LP,2021-03-02,BE0003818359,archive
0.89,SBM Offshore N.V.,Marshall Wace LLP,2021-03-02,NL0000360618,archive
0.56,ABN AMRO Bank NV,"Samlyn Capital, LLC",2021-03-02,NL0011540547,archive
0.5,SBM Offshore N.V.,"AQR Capital Management, LLC",2021-03-01,NL0000360618,archive
0.54,Aperam S.A.,Citadel Europe LLP,2021-03-01,LU0569974404,archive
0.8,BE Semiconductor Industries N.V.,"Davidson Kempner European Partners, LLP",2021-03-01,NL0012866412,archive
0.56,Unibail-Rodamco-Westfield SE,"Maverick Capital, Ltd.",2021-03-01,FR0013326246,archive
0.59,Signify N.V.,Millennium International Management LP,2021-03-01,NL0011821392,archive
0.77,Pharming Group N.V.,"WorldQuant, LLC",2021-03-01,NL0010391025,archive
1.4,ABN AMRO Bank NV,Marshall Wace LLP,2021-02-26,NL0011540547,archive
0.8,Pharming Group N.V.,"WorldQuant, LLC",2021-02-26,NL0010391025,archive
0.42,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-02-25,NL0000888691,archive
0.76,ABN AMRO Bank NV,"Samlyn Capital, LLC",2021-02-25,NL0011540547,archive
0.57,Galapagos NV,"WorldQuant, LLC",2021-02-25,BE0003818359,archive
0.7,Pharming Group N.V.,"WorldQuant, LLC",2021-02-24,NL0010391025,archive
0.55,AMG Critical Materials N.V.,Citadel Advisors LLC,2021-02-23,NL0000888691,archive
0.55,Signify N.V.,Millennium Capital Partners LLP,2021-02-23,NL0011821392,archive
0.58,Pharming Group N.V.,"PDT Partners, LLC",2021-02-23,NL0010391025,archive
0.59,Wereldhave N.V.,"Athanor Capital, LP",2021-02-22,NL0000289213,archive
0.69,Aperam S.A.,Citadel Europe LLP,2021-02-22,LU0569974404,archive
0.49,Galapagos NV,"D. E. Shaw & Co., L.P.",2021-02-22,BE0003818359,archive
0.63,Signify N.V.,Millennium International Management LP,2021-02-22,NL0011821392,archive
0.46,BE Semiconductor Industries N.V.,Scopia Capital Management LP,2021-02-22,NL0012866412,archive
0.65,Galapagos NV,"WorldQuant, LLC",2021-02-22,BE0003818359,archive
0.47,Unibail-Rodamco-Westfield SE,"WorldQuant, LLC",2021-02-19,FR0013326246,archive
0.5,Galapagos NV,"D. E. Shaw & Co., L.P.",2021-02-18,BE0003818359,archive
1.35,ABN AMRO Bank NV,Marshall Wace LLP,2021-02-18,NL0011540547,archive
0.69,Wereldhave N.V.,Toscafund Asset Management LLP,2021-02-18,NL0000289213,archive
0.52,Galapagos NV,"WorldQuant, LLC",2021-02-18,BE0003818359,archive
0.49,OCI N.V.,"AQR Capital Management, LLC",2021-02-17,NL0010558797,archive
0.68,Wereldhave N.V.,"Athanor Capital, LP",2021-02-17,NL0000289213,archive
0.46,Aperam S.A.,Citadel Advisors LLC,2021-02-17,LU0569974404,archive
0.75,Aperam S.A.,Citadel Europe LLP,2021-02-17,LU0569974404,archive
0.32,Koninklijke BAM Groep N.V.,"Lucerne Capital Management, L.P.",2021-02-17,NL0000337319,archive
0.81,Basic-Fit N.V.,Marshall Wace LLP,2021-02-17,NL0011872650,archive
0.77,Wereldhave N.V.,Toscafund Asset Management LLP,2021-02-17,NL0000289213,archive
0.48,Fugro N.V.,"WorldQuant, LLC",2021-02-17,NL00150004A7,archive
0.61,OCI N.V.,"AQR Capital Management, LLC",2021-02-16,NL0010558797,archive
0.46,SBM Offshore N.V.,"AQR Capital Management, LLC",2021-02-16,NL0000360618,archive
0.49,Galapagos NV,"D. E. Shaw & Co., L.P.",2021-02-16,BE0003818359,archive
0.61,Signify N.V.,Millennium Capital Partners LLP,2021-02-16,NL0011821392,archive
0.53,ArcelorMittal S.A.,Polar Asset Management Partners Inc.,2021-02-16,LU1598757687,archive
0.59,Fugro N.V.,"WorldQuant, LLC",2021-02-16,NL00150004A7,archive
0.76,Wereldhave N.V.,"Athanor Capital, LP",2021-02-15,NL0000289213,archive
0.45,Fugro N.V.,UBS AG,2021-02-15,NL00150004A7,archive
0.52,Unibail-Rodamco-Westfield SE,"WorldQuant, LLC",2021-02-15,FR0013326246,archive
0.36,Galapagos NV,"AQR Capital Management, LLC",2021-02-12,BE0003818359,archive
0.79,OCI N.V.,"AQR Capital Management, LLC",2021-02-12,NL0010558797,archive
