net_short_position,issuer_name,position_holder,position_date,isin,source
0.53,IMCD N.V.,Citadel Advisors LLC,2026-04-17,NL0010801007,current
0.5,Randstad N.V.,Citadel Advisors LLC,2026-04-17,NL0000379121,current
2.22,Signify N.V.,Citadel Advisors LLC,2026-04-17,NL0011821392,current
0.71,Sligro Food Group N.V.,Citadel Advisors LLC,2026-04-17,NL0000817179,current
1.12,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",2026-04-17,NL0011872650,current
1.41,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,2026-04-17,NL0013267909,current
1.02,Basic-Fit N.V.,Fosse Capital Partners LLP,2026-04-17,NL0011872650,current
1.06,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL00150003E1,current
0.91,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL0010801007,current
1.22,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-17,NL0013332471,current
0.59,Basic-Fit N.V.,Linden Advisors LP,2026-04-17,NL0011872650,current
0.65,IMCD N.V.,Marshall Wace LLP,2026-04-17,NL0010801007,current
0.81,PostNL N.V.,Marshall Wace LLP,2026-04-17,NL0009739416,current
0.9,Signify N.V.,"PDT Partners, LLC",2026-04-17,NL0011821392,current
0.6,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,2026-04-17,NL0011872650,current
1.47,InPost S.A.,"Two Sigma Investments, LP",2026-04-17,LU2290522684,current
0.62,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,2026-04-17,NL0015002MS2,current
0.69,IMCD N.V.,Acadian Asset Management LLC.,2026-04-16,NL0010801007,current
1.07,Akzo Nobel N.V.,AKO Capital LLP,2026-04-16,NL0013267909,current
1.3,Adyen N.V.,"AQR Capital Management, LLC",2026-04-16,NL0012969182,current
2.32,Signify N.V.,Citadel Advisors LLC,2026-04-16,NL0011821392,current
0.85,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-16,NL0010801007,current
0.58,The Magnum Ice Cream Company N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-16,NL0015002MS2,current
1.18,Pharming Group N.V.,Lazard Asset Management LLC,2026-04-16,NL0010391025,current
0.52,IMCD N.V.,Marshall Wace LLP,2026-04-16,NL0010801007,current
1.79,Alfen N.V.,Voleon Capital Management LP,2026-04-16,NL0012817175,current
2.75,Alfen N.V.,"WorldQuant, LLC",2026-04-16,NL0012817175,current
1.41,Akzo Nobel N.V.,AKO Capital LLP,2026-04-15,NL0013267909,current
0.68,Adyen N.V.,Capital Fund Management S.A.,2026-04-15,NL0012969182,current
1.23,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-04-15,CH1216478797,current
0.76,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-15,NL0010801007,current
1.2,Pharming Group N.V.,Lazard Asset Management LLC,2026-04-15,NL0010391025,current
1.82,Signify N.V.,Marshall Wace LLP,2026-04-15,NL0011821392,current
1.15,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-15,NL0015002MS2,current
1.16,Theon International Plc,Qube Research & Technologies Ltd.,2026-04-15,CY0200751713,current
0.88,ARCADIS N.V.,Squarepoint Ops LLC,2026-04-15,NL0006237562,current
1.89,Alfen N.V.,Voleon Capital Management LP,2026-04-15,NL0012817175,current
0.97,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-04-14,NL0010801007,current
0.51,Havas N.V.,Citadel Advisors LLC,2026-04-14,NL0015002K83,current
1.23,Basic-Fit N.V.,Fosse Capital Partners LLP,2026-04-14,NL0011872650,current
0.66,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-04-14,NL0010801007,current
1.22,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-14,NL0015002MS2,current
0.5,PostNL N.V.,"PDT Partners, LLC",2026-04-14,NL0009739416,current
2.84,Alfen N.V.,"WorldQuant, LLC",2026-04-14,NL0012817175,current
1.21,Adyen N.V.,"AQR Capital Management, LLC",2026-04-13,NL0012969182,current
1.01,ARCADIS N.V.,"AQR Capital Management, LLC",2026-04-13,NL0006237562,current
0.71,CVC Capital Partners plc,"AQR Capital Management, LLC",2026-04-13,JE00BRX98089,current
0.61,Sligro Food Group N.V.,Citadel Advisors LLC,2026-04-13,NL0000817179,current
0.89,IMCD N.V.,"PDT Partners, LLC",2026-04-13,NL0010801007,current
0.5,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,2026-04-13,NL0015002MS2,current
0.58,ArcelorMittal S.A.,"AQR Capital Management, LLC",2026-04-10,LU1598757687,current
0.8,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",2026-04-10,NL0000395903,current
1.38,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-04-10,NL0015002MS2,current
0.9,IMCD N.V.,"PDT Partners, LLC",2026-04-10,NL0010801007,current
1.22,Theon International Plc,Qube Research & Technologies Ltd.,2026-04-10,CY0200751713,current
1.13,Adyen N.V.,"AQR Capital Management, LLC",2026-04-09,NL0012969182,current
0.51,IMCD N.V.,"AQR Capital Management, LLC",2026-04-09,NL0010801007,current
2.42,Signify N.V.,Citadel Advisors LLC,2026-04-09,NL0011821392,current
