issuer_name,isin,net_short_position,position_holder,position_date,source
Randstad N.V.,NL0000379121,0.5,Citadel Advisors Europe Limited,2026-05-07,current
Signify N.V.,NL0011821392,0.97,Citadel Advisors Europe Limited,2026-05-07,current
PostNL N.V.,NL0009739416,0.69,"D. E. Shaw & Co., L.P.",2026-05-07,current
Pharming Group N.V.,NL0010391025,0.76,Lazard Asset Management LLC,2026-05-07,current
IMCD N.V.,NL0010801007,0.79,Marshall Wace LLP,2026-05-07,current
Signify N.V.,NL0011821392,1.69,Marshall Wace LLP,2026-05-07,current
IMCD N.V.,NL0010801007,0.79,Capital Fund Management S.A.,2026-05-06,current
IMCD N.V.,NL0010801007,0.82,Citadel Advisors LLC,2026-05-06,current
Signify N.V.,NL0011821392,1.41,Citadel Advisors LLC,2026-05-06,current
DSM-Firmenich AG,CH1216478797,1.4,Ilex Capital Partners (UK) LLP,2026-05-06,current
CVC Capital Partners plc,JE00BRX98089,0.69,Marshall Wace LLP,2026-05-06,current
IMCD N.V.,NL0010801007,0.83,Marshall Wace LLP,2026-05-06,current
IMCD N.V.,NL0010801007,0.77,"PDT Partners, LLC",2026-05-06,current
Signify N.V.,NL0011821392,0.9,"PDT Partners, LLC",2026-05-06,current
Signify N.V.,NL0011821392,0.8,Citadel Advisors Europe Limited,2026-05-05,current
IMCD N.V.,NL0010801007,0.9,Citadel Advisors LLC,2026-05-05,current
Signify N.V.,NL0011821392,1.36,Citadel Advisors LLC,2026-05-05,current
Basic-Fit N.V.,NL0011872650,0.98,"D. E. Shaw & Co., L.P.",2026-05-05,current
PostNL N.V.,NL0009739416,0.7,"D. E. Shaw & Co., L.P.",2026-05-05,current
TomTom N.V.,NL0013332471,1.09,JPMorgan Asset Management (UK) Ltd.,2026-05-05,current
Signify N.V.,NL0011821392,1.76,Marshall Wace LLP,2026-05-05,current
Basic-Fit N.V.,NL0011872650,0.65,Sculptor Capital Management Europe Limited,2026-05-05,current
IMCD N.V.,NL0010801007,0.81,Capital Fund Management S.A.,2026-05-04,current
Signify N.V.,NL0011821392,0.7,Citadel Advisors Europe Limited,2026-05-04,current
PostNL N.V.,NL0009739416,0.69,"D. E. Shaw & Co., L.P.",2026-05-04,current
Akzo Nobel N.V.,NL0013267909,1.61,Davidson Kempner Capital Management LP,2026-05-04,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.67,Walleye Capital LLC,2026-05-04,current
Signify N.V.,NL0011821392,0.55,Citadel Advisors Europe Limited,2026-04-30,current
ARCADIS N.V.,NL0006237562,0.57,"D. E. Shaw & Co., L.P.",2026-04-30,current
PostNL N.V.,NL0009739416,0.7,"D. E. Shaw & Co., L.P.",2026-04-30,current
Pharming Group N.V.,NL0010391025,0.5,Jupiter Asset Management Ltd.,2026-04-30,current
PostNL N.V.,NL0009739416,0.89,Marshall Wace LLP,2026-04-30,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.86,Marshall Wace LLP,2026-04-30,current
Signify N.V.,NL0011821392,0.89,"PDT Partners, LLC",2026-04-30,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.6,Qube Research & Technologies Ltd.,2026-04-30,current
Basic-Fit N.V.,NL0011872650,0.59,Sculptor Capital Management Europe Limited,2026-04-30,current
Alfen N.V.,NL0012817175,0.73,Squarepoint Ops LLC,2026-04-30,current
ARCADIS N.V.,NL0006237562,0.56,White Creek Capital LLP,2026-04-30,current
IMCD N.V.,NL0010801007,0.83,Citadel Advisors LLC,2026-04-29,current
Signify N.V.,NL0011821392,1.29,Citadel Advisors LLC,2026-04-29,current
Sligro Food Group N.V.,NL0000817179,0.9,Citadel Advisors LLC,2026-04-29,current
Wolters Kluwer N.V.,NL0000395903,0.79,"D. E. Shaw & Co., L.P.",2026-04-29,current
CVC Capital Partners plc,JE00BRX98089,0.71,Marshall Wace LLP,2026-04-29,current
IMCD N.V.,NL0010801007,0.74,Marshall Wace LLP,2026-04-29,current
PostNL N.V.,NL0009739416,0.9,Marshall Wace LLP,2026-04-29,current
Signify N.V.,NL0011821392,0.9,"PDT Partners, LLC",2026-04-29,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.7,Walleye Capital LLC,2026-04-29,current
IMCD N.V.,NL0010801007,0.75,Citadel Advisors LLC,2026-04-28,current
Signify N.V.,NL0011821392,1.32,Citadel Advisors LLC,2026-04-28,current
TomTom N.V.,NL0013332471,1.17,JPMorgan Asset Management (UK) Ltd.,2026-04-28,current
Signify N.V.,NL0011821392,1.8,Marshall Wace LLP,2026-04-28,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.98,Marshall Wace LLP,2026-04-28,current
Alfen N.V.,NL0012817175,0.62,Squarepoint Ops LLC,2026-04-28,current
Adyen N.V.,NL0012969182,1.27,"AQR Capital Management, LLC",2026-04-27,current
Signify N.V.,NL0011821392,1.43,Citadel Advisors LLC,2026-04-27,current
DSM-Firmenich AG,CH1216478797,1.3,Ilex Capital Partners (UK) LLP,2026-04-27,current
Fugro N.V.,NL00150003E1,2.15,JPMorgan Asset Management (UK) Ltd.,2026-04-27,current
Fugro N.V.,NL00150003E1,2.06,JPMorgan Asset Management (UK) Ltd.,2026-04-24,current
Basic-Fit N.V.,NL0011872650,0.82,Linden Advisors LP,2026-04-24,current
IMCD N.V.,NL0010801007,0.61,Marshall Wace LLP,2026-04-24,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.04,Marshall Wace LLP,2026-04-24,current
Signify N.V.,NL0011821392,1.68,Citadel Advisors LLC,2026-04-23,current
Sligro Food Group N.V.,NL0000817179,0.8,Citadel Advisors LLC,2026-04-23,current
Basic-Fit N.V.,NL0011872650,0.84,Eleva Capital SAS,2026-04-23,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.11,Marshall Wace LLP,2026-04-23,current
Alfen N.V.,NL0012817175,0.5,Squarepoint Ops LLC,2026-04-23,current
Pharming Group N.V.,NL0010391025,0.77,Capstone Volatility Master (Cayman) Limited,2026-04-22,current
IMCD N.V.,NL0010801007,0.62,Citadel Advisors LLC,2026-04-22,current
Signify N.V.,NL0011821392,1.71,Citadel Advisors LLC,2026-04-22,current
Wereldhave N.V.,NL0000289213,0.68,Citadel Advisors LLC,2026-04-22,current
Akzo Nobel N.V.,NL0013267909,1.55,Davidson Kempner Capital Management LP,2026-04-22,current
Fugro N.V.,NL00150003E1,1.73,JPMorgan Asset Management (UK) Ltd.,2026-04-22,current
IMCD N.V.,NL0010801007,0.56,Marshall Wace LLP,2026-04-22,current
Signify N.V.,NL0011821392,1.76,Marshall Wace LLP,2026-04-22,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.09,Marshall Wace LLP,2026-04-22,current
Adyen N.V.,NL0012969182,1.3,"AQR Capital Management, LLC",2026-04-21,current
Signify N.V.,NL0011821392,0.91,Canada Pension Plan Investment Board,2026-04-21,current
Signify N.V.,NL0011821392,1.82,Citadel Advisors LLC,2026-04-21,current
Wereldhave N.V.,NL0000289213,0.7,Citadel Advisors LLC,2026-04-21,current
Fugro N.V.,NL00150003E1,1.56,JPMorgan Asset Management (UK) Ltd.,2026-04-21,current
Signify N.V.,NL0011821392,0.88,"PDT Partners, LLC",2026-04-21,current
ARCADIS N.V.,NL0006237562,0.61,White Creek Capital LLP,2026-04-21,current
Adyen N.V.,NL0012969182,1.29,"AQR Capital Management, LLC",2026-04-20,current
Signify N.V.,NL0011821392,0.87,Canada Pension Plan Investment Board,2026-04-20,current
Signify N.V.,NL0011821392,2.0,Citadel Advisors LLC,2026-04-20,current
Basic-Fit N.V.,NL0011872650,1.06,"D. E. Shaw & Co., L.P.",2026-04-20,current
Fugro N.V.,NL00150003E1,1.45,JPMorgan Asset Management (UK) Ltd.,2026-04-20,current
Basic-Fit N.V.,NL0011872650,0.7,Linden Advisors LP,2026-04-20,current
Akzo Nobel N.V.,NL0013267909,1.16,"O'Connor Alternative Investments, LLC",2026-04-20,current
ARCADIS N.V.,NL0006237562,0.57,White Creek Capital LLP,2026-04-20,current
IMCD N.V.,NL0010801007,0.89,"BlackRock Financial Management, Inc.",2026-04-17,current
IMCD N.V.,NL0010801007,0.53,Citadel Advisors LLC,2026-04-17,current
Signify N.V.,NL0011821392,2.22,Citadel Advisors LLC,2026-04-17,current
Sligro Food Group N.V.,NL0000817179,0.71,Citadel Advisors LLC,2026-04-17,current
Basic-Fit N.V.,NL0011872650,1.12,"D. E. Shaw & Co., L.P.",2026-04-17,current
Akzo Nobel N.V.,NL0013267909,1.41,Davidson Kempner Capital Management LP,2026-04-17,current
Basic-Fit N.V.,NL0011872650,1.02,Fosse Capital Partners LLP,2026-04-17,current
Fugro N.V.,NL00150003E1,1.06,JPMorgan Asset Management (UK) Ltd.,2026-04-17,current
IMCD N.V.,NL0010801007,0.91,JPMorgan Asset Management (UK) Ltd.,2026-04-17,current
TomTom N.V.,NL0013332471,1.22,JPMorgan Asset Management (UK) Ltd.,2026-04-17,current
Basic-Fit N.V.,NL0011872650,0.59,Linden Advisors LP,2026-04-17,current
IMCD N.V.,NL0010801007,0.65,Marshall Wace LLP,2026-04-17,current
PostNL N.V.,NL0009739416,0.81,Marshall Wace LLP,2026-04-17,current
Signify N.V.,NL0011821392,0.9,"PDT Partners, LLC",2026-04-17,current
Basic-Fit N.V.,NL0011872650,0.6,Sculptor Capital Management Europe Limited,2026-04-17,current
InPost S.A.,LU2290522684,1.47,"Two Sigma Investments, LP",2026-04-17,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.62,Walleye Capital LLC,2026-04-17,current
Adyen N.V.,NL0012969182,1.3,"AQR Capital Management, LLC",2026-04-16,current
Signify N.V.,NL0011821392,2.32,Citadel Advisors LLC,2026-04-16,current
IMCD N.V.,NL0010801007,0.85,JPMorgan Asset Management (UK) Ltd.,2026-04-16,current
Pharming Group N.V.,NL0010391025,1.18,Lazard Asset Management LLC,2026-04-16,current
IMCD N.V.,NL0010801007,0.52,Marshall Wace LLP,2026-04-16,current
DSM-Firmenich AG,CH1216478797,1.23,Ilex Capital Partners (UK) LLP,2026-04-15,current
IMCD N.V.,NL0010801007,0.76,JPMorgan Asset Management (UK) Ltd.,2026-04-15,current
Pharming Group N.V.,NL0010391025,1.2,Lazard Asset Management LLC,2026-04-15,current
Signify N.V.,NL0011821392,1.82,Marshall Wace LLP,2026-04-15,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.15,Marshall Wace LLP,2026-04-15,current
IMCD N.V.,NL0010801007,0.97,"BlackRock Financial Management, Inc.",2026-04-14,current
Basic-Fit N.V.,NL0011872650,1.23,Fosse Capital Partners LLP,2026-04-14,current
IMCD N.V.,NL0010801007,0.66,JPMorgan Asset Management (UK) Ltd.,2026-04-14,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.22,Marshall Wace LLP,2026-04-14,current
PostNL N.V.,NL0009739416,0.5,"PDT Partners, LLC",2026-04-14,current
Adyen N.V.,NL0012969182,1.21,"AQR Capital Management, LLC",2026-04-13,current
ARCADIS N.V.,NL0006237562,1.01,"AQR Capital Management, LLC",2026-04-13,current
CVC Capital Partners plc,JE00BRX98089,0.71,"AQR Capital Management, LLC",2026-04-13,current
Sligro Food Group N.V.,NL0000817179,0.61,Citadel Advisors LLC,2026-04-13,current
IMCD N.V.,NL0010801007,0.89,"PDT Partners, LLC",2026-04-13,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.5,Walleye Capital LLC,2026-04-13,current
Wolters Kluwer N.V.,NL0000395903,0.8,"D. E. Shaw & Co., L.P.",2026-04-10,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.38,Marshall Wace LLP,2026-04-10,current
IMCD N.V.,NL0010801007,0.9,"PDT Partners, LLC",2026-04-10,current
Adyen N.V.,NL0012969182,1.13,"AQR Capital Management, LLC",2026-04-09,current
Signify N.V.,NL0011821392,2.42,Citadel Advisors LLC,2026-04-09,current
DSM-Firmenich AG,CH1216478797,1.0,Ilex Capital Partners (UK) LLP,2026-04-09,current
NSI N.V.,NL0012365084,0.71,Numeric Investors LLC,2026-04-09,current
IMCD N.V.,NL0010801007,0.89,"PDT Partners, LLC",2026-04-09,current
Aalberts N.V.,NL0000852564,0.61,"AQR Capital Management, LLC",2026-04-08,current
Signify N.V.,NL0011821392,1.22,"AQR Capital Management, LLC",2026-04-08,current
Signify N.V.,NL0011821392,2.39,Citadel Advisors LLC,2026-04-08,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,0.5,Qube Research & Technologies Ltd.,2026-04-08,current
IMCD N.V.,NL0010801007,0.79,"Two Sigma Investments, LP",2026-04-08,current
IMCD N.V.,NL0010801007,0.66,"BlackRock Advisors, LLC",2026-04-07,current
IMCD N.V.,NL0010801007,1.0,"BlackRock Financial Management, Inc.",2026-04-07,current
IMCD N.V.,NL0010801007,0.76,Capital Fund Management S.A.,2026-04-07,current
Signify N.V.,NL0011821392,2.41,Citadel Advisors LLC,2026-04-07,current
ARCADIS N.V.,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",2026-04-07,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,1.46,Marshall Wace LLP,2026-04-07,current
Adyen N.V.,NL0012969182,1.0,"AQR Capital Management, LLC",2026-04-02,current
CVC Capital Partners plc,JE00BRX98089,0.61,"AQR Capital Management, LLC",2026-04-02,current
IMCD N.V.,NL0010801007,0.99,"BlackRock Financial Management, Inc.",2026-04-02,current
Sligro Food Group N.V.,NL0000817179,0.5,Citadel Advisors LLC,2026-04-02,current
ARCADIS N.V.,NL0006237562,0.7,"D. E. Shaw & Co., L.P.",2026-04-02,current
Basic-Fit N.V.,NL0011872650,0.62,Eleva Capital SAS,2026-04-02,current
Signify N.V.,NL0011821392,1.1,"AQR Capital Management, LLC",2026-04-01,current
IMCD N.V.,NL0010801007,1.21,"Arrowstreet Capital, Limited Partnership",2026-04-01,current
Signify N.V.,NL0011821392,0.74,Canada Pension Plan Investment Board,2026-04-01,current
Signify N.V.,NL0011821392,2.36,Citadel Advisors LLC,2026-04-01,current
ARCADIS N.V.,NL0006237562,0.69,"D. E. Shaw & Co., L.P.",2026-04-01,current
Basic-Fit N.V.,NL0011872650,0.5,Eleva Capital SAS,2026-04-01,current
