issuer_name,position_holder,net_short_position,isin,position_date,source
Alfen N.V.,Voleon Capital Management LP,1.98,NL0012817175,2026-04-07,current
Alfen N.V.,"WorldQuant, LLC",2.77,NL0012817175,2026-04-07,current
Adyen N.V.,"AQR Capital Management, LLC",1.0,NL0012969182,2026-04-02,current
CVC Capital Partners plc,"AQR Capital Management, LLC",0.61,JE00BRX98089,2026-04-02,current
IMCD N.V.,"BlackRock Financial Management, Inc.",0.99,NL0010801007,2026-04-02,current
Sligro Food Group N.V.,Citadel Advisors LLC,0.5,NL0000817179,2026-04-02,current
ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.7,NL0006237562,2026-04-02,current
Basic-Fit N.V.,Eleva Capital SAS,0.62,NL0011872650,2026-04-02,current
Randstad N.V.,Marshall Wace LLP,0.78,NL0000379121,2026-04-02,current
ArcelorMittal S.A.,"AQR Capital Management, LLC",0.61,LU1598757687,2026-04-01,current
Signify N.V.,"AQR Capital Management, LLC",1.1,NL0011821392,2026-04-01,current
IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.21,NL0010801007,2026-04-01,current
Signify N.V.,Canada Pension Plan Investment Board,0.74,NL0011821392,2026-04-01,current
Signify N.V.,Citadel Advisors LLC,2.36,NL0011821392,2026-04-01,current
ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.69,NL0006237562,2026-04-01,current
Basic-Fit N.V.,Eleva Capital SAS,0.5,NL0011872650,2026-04-01,current
Signify N.V.,Marshall Wace LLP,1.79,NL0011821392,2026-04-01,current
Alfen N.V.,"WorldQuant, LLC",2.86,NL0012817175,2026-04-01,current
IMCD N.V.,Capital Fund Management S.A.,0.62,NL0010801007,2026-03-31,current
Signify N.V.,Citadel Advisors LLC,2.4,NL0011821392,2026-03-31,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",1.09,NL0012817175,2026-03-31,current
Signify N.V.,Eleva Capital SAS,1.21,NL0011821392,2026-03-31,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,0.9,JE00BRX98089,2026-03-31,current
Adyen N.V.,"AQR Capital Management, LLC",0.9,NL0012969182,2026-03-30,current
Signify N.V.,Eleva Capital SAS,1.05,NL0011821392,2026-03-30,current
The Magnum Ice Cream Company N.V.,GLG Partners LP,0.64,NL0015002MS2,2026-03-30,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.91,CH1216478797,2026-03-30,current
Signify N.V.,Marshall Wace LLP,1.87,NL0011821392,2026-03-30,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.59,NL0015002MS2,2026-03-30,current
NSI N.V.,Numeric Investors LLC,0.61,NL0012365084,2026-03-30,current
ARCADIS N.V.,Squarepoint Ops LLC,0.99,NL0006237562,2026-03-30,current
Theon International Plc,"Two Sigma Investments, LP",0.7,CY0200751713,2026-03-30,current
ARCADIS N.V.,"AQR Capital Management, LLC",0.9,NL0006237562,2026-03-27,current
IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.12,NL0010801007,2026-03-27,current
IMCD N.V.,"BlackRock Financial Management, Inc.",1.09,NL0010801007,2026-03-27,current
IMCD N.V.,Capital Fund Management S.A.,0.51,NL0010801007,2026-03-27,current
ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.7,NL0006237562,2026-03-27,current
Pharming Group N.V.,"D. E. Shaw & Co., L.P.",0.59,NL0010391025,2026-03-27,current
The Magnum Ice Cream Company N.V.,GLG Partners LP,0.59,NL0015002MS2,2026-03-27,current
Randstad N.V.,Marshall Wace LLP,0.86,NL0000379121,2026-03-27,current
ARCADIS N.V.,"D. E. Shaw & Co., L.P.",0.69,NL0006237562,2026-03-26,current
Signify N.V.,Marshall Wace LLP,1.96,NL0011821392,2026-03-26,current
Theon International Plc,Qube Research & Technologies Ltd.,1.14,CY0200751713,2026-03-26,current
InPost S.A.,"Two Sigma Investments, LP",1.5,LU2290522684,2026-03-26,current
IMCD N.V.,Voleon Capital Management LP,0.5,NL0010801007,2026-03-26,current
Alfen N.V.,"WorldQuant, LLC",2.92,NL0012817175,2026-03-26,current
IMCD N.V.,"WorldQuant, LLC",0.71,NL0010801007,2026-03-26,current
Adyen N.V.,"AQR Capital Management, LLC",0.8,NL0012969182,2026-03-25,current
CVC Capital Partners plc,"AQR Capital Management, LLC",0.5,JE00BRX98089,2026-03-25,current
The Magnum Ice Cream Company N.V.,GLG Partners LP,0.6,NL0015002MS2,2026-03-25,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.82,CH1216478797,2026-03-25,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.81,NL0011821392,2026-03-25,current
IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.56,NL0010801007,2026-03-24,current
Pharming Group N.V.,Lazard Asset Management LLC,1.14,NL0010391025,2026-03-24,current
Randstad N.V.,Marshall Wace LLP,0.91,NL0000379121,2026-03-24,current
Signify N.V.,Marshall Wace LLP,2.0,NL0011821392,2026-03-24,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.6,NL0015002MS2,2026-03-24,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.79,NL0011821392,2026-03-24,current
IMCD N.V.,"PDT Partners, LLC",0.9,NL0010801007,2026-03-24,current
CVC Capital Partners plc,Qube Research & Technologies Ltd.,0.81,JE00BRX98089,2026-03-24,current
InPost S.A.,"Two Sigma Investments, LP",1.44,LU2290522684,2026-03-24,current
Theon International Plc,"Two Sigma Investments, LP",0.6,CY0200751713,2026-03-24,current
Alfen N.V.,Voleon Capital Management LP,2.0,NL0012817175,2026-03-24,current
Envipco Holding N.V.,Actus Ray Partners Limited,0.62,NL0015000GX8,2026-03-23,current
Adyen N.V.,"AQR Capital Management, LLC",0.72,NL0012969182,2026-03-23,current
IMCD N.V.,"Arrowstreet Capital, Limited Partnership",1.01,NL0010801007,2026-03-23,current
Signify N.V.,"BlackRock Financial Management, Inc.",0.6,NL0011821392,2026-03-23,current
Signify N.V.,Citadel Advisors LLC,2.3,NL0011821392,2026-03-23,current
Alfen N.V.,"D. E. Shaw & Co., L.P.",1.18,NL0012817175,2026-03-23,current
PostNL N.V.,"D. E. Shaw & Co., L.P.",0.69,NL0009739416,2026-03-23,current
The Magnum Ice Cream Company N.V.,GLG Partners LP,0.51,NL0015002MS2,2026-03-23,current
PostNL N.V.,Marshall Wace LLP,0.7,NL0009739416,2026-03-23,current
Theon International Plc,Qube Research & Technologies Ltd.,1.01,CY0200751713,2026-03-23,current
ARCADIS N.V.,Squarepoint Ops LLC,1.05,NL0006237562,2026-03-23,current
InPost S.A.,"Two Sigma Investments, LP",1.36,LU2290522684,2026-03-23,current
Signify N.V.,"BlackRock Financial Management, Inc.",0.58,NL0011821392,2026-03-20,current
Adyen N.V.,Capital Fund Management S.A.,0.7,NL0012969182,2026-03-20,current
DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,0.75,CH1216478797,2026-03-20,current
Randstad N.V.,Marshall Wace LLP,0.83,NL0000379121,2026-03-20,current
The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.52,NL0015002MS2,2026-03-20,current
Signify N.V.,Millennium Capital (DIFC) Limited,0.8,NL0011821392,2026-03-20,current
Theon International Plc,Qube Research & Technologies Ltd.,0.99,CY0200751713,2026-03-20,current
IMCD N.V.,"Two Sigma Investments, LP",0.81,NL0010801007,2026-03-20,current
InPost S.A.,"Two Sigma Investments, LP",1.26,LU2290522684,2026-03-20,current
Akzo Nobel N.V.,AKO Capital LLP,1.31,NL0013267909,2026-03-19,current
