issuer_name,net_short_position,position_date,isin,position_holder,source
AMG Critical Materials N.V.,0.62,2023-11-10,NL0000888691,Capital Fund Management S.A.,archive
Alfen N.V.,0.77,2023-11-10,NL0012817175,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,0.79,2023-11-10,NL0000888691,Citadel Advisors LLC,archive
Vivoryon Therapeutics N.V.,1.52,2023-11-10,NL00150002Q7,Janus Henderson Investors UK Limited,archive
AMG Critical Materials N.V.,1.23,2023-11-10,NL0000888691,Marshall Wace LLP,archive
Adyen N.V.,0.5,2023-11-10,NL0012969182,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.95,2023-11-10,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,0.74,2023-11-10,NL0012817175,"WorldQuant, LLC",archive
Ferrovial N.V>,0.49,2023-11-09,NL0015001FS8,"AQR Capital Management, LLC",archive
Basic-Fit N.V.,0.49,2023-11-09,NL0011872650,CapeView Capital LLP,archive
AMG Critical Materials N.V.,0.58,2023-11-09,NL0000888691,Capital Fund Management S.A.,archive
Koninklijke KPN N.V.,0.44,2023-11-09,NL0000009082,Citadel Advisors Europe Limited,archive
Alfen N.V.,0.67,2023-11-09,NL0012817175,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,0.83,2023-11-09,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,0.63,2023-11-09,NL0012817175,"D. E. Shaw & Co., L.P.",archive
AMG Critical Materials N.V.,1.39,2023-11-09,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Adyen N.V.,0.24,2023-11-09,NL0012969182,Marshall Wace LLP,archive
AMG Critical Materials N.V.,1.03,2023-11-09,NL0000888691,Marshall Wace LLP,archive
Flow Traders Ltd.,0.78,2023-11-09,BMG3602E1084,Marshall Wace LLP,archive
Adyen N.V.,0.48,2023-11-09,NL0012969182,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.01,2023-11-09,NL0012817175,Qube Research & Technologies Ltd.,archive
Galapagos NV,0.49,2023-11-09,BE0003818359,Qube Research & Technologies Ltd.,archive
Koninklijke KPN N.V.,0.59,2023-11-09,NL0000009082,Syquant Capital,archive
Alfen N.V.,1.05,2023-11-08,NL0012817175,AHL Partners LLP,archive
AMG Critical Materials N.V.,0.46,2023-11-08,NL0000888691,AHL Partners LLP,archive
Alfen N.V.,0.58,2023-11-08,NL0012817175,Citadel Advisors LLC,archive
Alfen N.V.,0.7,2023-11-08,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Adyen N.V.,0.66,2023-11-08,NL0012969182,Marshall Wace LLP,archive
Koninklijke Philips N.V.,0.51,2023-11-08,NL0000009538,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.78,2023-11-08,NL0012866412,Millennium International Management LP,archive
Koninklijke KPN N.V.,0.6,2023-11-08,NL0000009082,Syquant Capital,archive
Basic-Fit N.V.,0.49,2023-11-08,NL0011872650,Wellington Management International Ltd.,archive
Basic-Fit N.V.,2.62,2023-11-07,NL0011872650,BlackRock Investment Management (UK) Limited,archive
Koninklijke Philips N.V.,0.98,2023-11-07,NL0000009538,Citadel Advisors LLC,archive
Vivoryon Therapeutics N.V.,1.42,2023-11-07,NL00150002Q7,Janus Henderson Investors UK Limited,archive
BE Semiconductor Industries N.V.,0.48,2023-11-07,NL0012866412,Marshall Wace LLP,archive
Pharming Group N.V.,0.99,2023-11-07,NL0010391025,Marshall Wace LLP,archive
Adyen N.V.,0.59,2023-11-07,NL0012969182,Qube Research & Technologies Ltd.,archive
Galapagos NV,0.51,2023-11-07,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.18,2023-11-06,NL0012817175,AHL Partners LLP,archive
Koninklijke KPN N.V.,0.56,2023-11-06,NL0000009082,Citadel Advisors Europe Limited,archive
Koninklijke Philips N.V.,1.0,2023-11-06,NL0000009538,Citadel Advisors LLC,archive
Alfen N.V.,0.68,2023-11-06,NL0012817175,"D. E. Shaw & Co., L.P.",archive
AMG Critical Materials N.V.,1.1,2023-11-06,NL0000888691,"D. E. Shaw & Co., L.P.",archive
SBM Offshore N.V.,0.79,2023-11-06,NL0000360618,JPMorgan Asset Management (UK) Ltd.,archive
Adyen N.V.,0.6,2023-11-06,NL0012969182,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.81,2023-11-06,NL0012817175,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,0.55,2023-11-03,NL0000888691,Citadel Advisors LLC,archive
Aperam S.A.,0.61,2023-11-03,LU0569974404,"ExodusPoint Capital Management, LP",archive
Alfen N.V.,0.42,2023-11-03,NL0012817175,FIL Investments International,archive
Adyen N.V.,0.75,2023-11-03,NL0012969182,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.57,2023-11-03,NL0012866412,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.47,2023-11-03,NL0012866412,"Point72 Asset Management, L.P.",archive
Adyen N.V.,0.59,2023-11-03,NL0012969182,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.29,2023-11-02,NL0012817175,AHL Partners LLP,archive
AMG Critical Materials N.V.,0.59,2023-11-02,NL0000888691,AHL Partners LLP,archive
Basic-Fit N.V.,0.57,2023-11-02,NL0011872650,CapeView Capital LLP,archive
Koninklijke KPN N.V.,0.68,2023-11-02,NL0000009082,Citadel Advisors Europe Limited,archive
AMG Critical Materials N.V.,1.09,2023-11-02,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Vivoryon Therapeutics N.V.,1.36,2023-11-02,NL00150002Q7,Janus Henderson Investors UK Limited,archive
BE Semiconductor Industries N.V.,0.64,2023-11-02,NL0012866412,Marshall Wace LLP,archive
Pharming Group N.V.,1.09,2023-11-02,NL0010391025,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.52,2023-11-02,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,0.6,2023-11-02,NL0012817175,"WorldQuant, LLC",archive
Alfen N.V.,1.36,2023-11-01,NL0012817175,AHL Partners LLP,archive
BE Semiconductor Industries N.V.,0.8,2023-11-01,NL0012866412,"Davidson Kempner European Partners, LLP",archive
Corbion N.V.,0.55,2023-11-01,NL0010583399,JPMorgan Asset Management (UK) Ltd.,archive
BE Semiconductor Industries N.V.,0.73,2023-11-01,NL0012866412,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.49,2023-11-01,NL0000337319,Marshall Wace LLP,archive
Basic-Fit N.V.,0.61,2023-10-31,NL0011872650,CapeView Capital LLP,archive
Koninklijke KPN N.V.,0.78,2023-10-31,NL0000009082,Citadel Advisors Europe Limited,archive
Vivoryon Therapeutics N.V.,1.2,2023-10-31,NL00150002Q7,Janus Henderson Investors UK Limited,archive
BE Semiconductor Industries N.V.,0.69,2023-10-31,NL0012866412,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.4,2023-10-31,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,0.96,2023-10-31,NL0012817175,Qube Research & Technologies Ltd.,archive
Adyen N.V.,0.5,2023-10-30,NL0012969182,"AQR Capital Management, LLC",archive
Signify N.V.,0.94,2023-10-30,NL0011821392,BlackRock Investment Management (UK) Limited,archive
AMG Critical Materials N.V.,0.44,2023-10-30,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,1.02,2023-10-30,NL0012817175,Qube Research & Technologies Ltd.,archive
Galapagos NV,0.49,2023-10-30,BE0003818359,Qube Research & Technologies Ltd.,archive
Signify N.V.,0.41,2023-10-27,NL0011821392,AKO Capital LLP,archive
Signify N.V.,0.8,2023-10-27,NL0011821392,BlackRock Investment Management (UK) Limited,archive
Koninklijke KPN N.V.,0.82,2023-10-27,NL0000009082,Citadel Advisors Europe Limited,archive
Alfen N.V.,0.79,2023-10-27,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Pharming Group N.V.,1.16,2023-10-27,NL0010391025,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.35,2023-10-27,NL0012866412,"Point72 Asset Management, L.P.",archive
AMG Critical Materials N.V.,0.6,2023-10-26,NL0000888691,AHL Partners LLP,archive
Signify N.V.,0.55,2023-10-26,NL0011821392,BlackRock Investment Management (UK) Limited,archive
Aperam S.A.,0.5,2023-10-26,LU0569974404,"ExodusPoint Capital Management, LP",archive
BE Semiconductor Industries N.V.,0.5,2023-10-26,NL0012866412,GLG Partners LP,archive
BE Semiconductor Industries N.V.,0.85,2023-10-26,NL0012866412,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,1.26,2023-10-26,NL0012866412,"Point72 Asset Management, L.P.",archive
Koninklijke KPN N.V.,0.71,2023-10-25,NL0000009082,Citadel Advisors Europe Limited,archive
Koninklijke Philips N.V.,0.9,2023-10-25,NL0000009538,Citadel Advisors LLC,archive
Alfen N.V.,0.82,2023-10-25,NL0012817175,"D. E. Shaw & Co., L.P.",archive
TomTom N.V.,0.6,2023-10-25,NL0013332471,Franklin Templeton Investment Management Limited,archive
BE Semiconductor Industries N.V.,0.72,2023-10-25,NL0012866412,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.93,2023-10-25,NL0012866412,Millennium International Management LP,archive
TomTom N.V.,0.77,2023-10-25,NL0013332471,Otus Capital Management Ltd.,archive
BE Semiconductor Industries N.V.,1.06,2023-10-25,NL0012866412,"Point72 Asset Management, L.P.",archive
Koninklijke KPN N.V.,0.51,2023-10-25,NL0000009082,Syquant Capital,archive
DSM-Firmenich AG,0.5,2023-10-24,CH1216478797,"AQR Capital Management, LLC",archive
Koninklijke Philips N.V.,0.89,2023-10-24,NL0000009538,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.14,2023-10-24,NL0000888691,"D. E. Shaw & Co., L.P.",archive
TomTom N.V.,0.55,2023-10-24,NL0013332471,Franklin Templeton Investment Management Limited,archive
ARCADIS N.V.,0.49,2023-10-24,NL0006237562,Marshall Wace LLP,archive
Flow Traders Ltd.,0.82,2023-10-24,BMG3602E1084,Marshall Wace LLP,archive
Adyen N.V.,0.61,2023-10-24,NL0012969182,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.15,2023-10-24,NL0012817175,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,0.59,2023-10-23,NL0000888691,AHL Partners LLP,archive
Koninklijke KPN N.V.,0.66,2023-10-23,NL0000009082,Citadel Advisors Europe Limited,archive
AMG Critical Materials N.V.,0.54,2023-10-23,NL0000888691,Citadel Advisors LLC,archive
Alfen N.V.,0.78,2023-10-23,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,0.52,2023-10-23,NL0012817175,FIL Investments International,archive
Ebusco Holding N.V.,0.49,2023-10-23,NL0015000CZ2,GSA Capital Partners LLP,archive
SBM Offshore N.V.,0.8,2023-10-23,NL0000360618,JPMorgan Asset Management (UK) Ltd.,archive
Adyen N.V.,0.88,2023-10-23,NL0012969182,Marshall Wace LLP,archive
ARCADIS N.V.,0.5,2023-10-23,NL0006237562,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,1.02,2023-10-23,NL0012866412,Millennium International Management LP,archive
TomTom N.V.,0.87,2023-10-23,NL0013332471,Otus Capital Management Ltd.,archive
BE Semiconductor Industries N.V.,0.91,2023-10-23,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,0.71,2023-10-23,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,1.43,2023-10-20,NL0012817175,AHL Partners LLP,archive
Koninklijke KPN N.V.,0.72,2023-10-20,NL0000009082,Citadel Advisors Europe Limited,archive
Koninklijke Philips N.V.,0.98,2023-10-20,NL0000009538,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.21,2023-10-20,NL0000888691,"D. E. Shaw & Co., L.P.",archive
TomTom N.V.,0.91,2023-10-20,NL0013332471,Otus Capital Management Ltd.,archive
Alfen N.V.,0.68,2023-10-20,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,1.39,2023-10-19,NL0012817175,AHL Partners LLP,archive
Randstad N.V.,0.51,2023-10-19,NL0000379121,AKO Capital LLP,archive
Basic-Fit N.V.,0.52,2023-10-19,NL0011872650,CapeView Capital LLP,archive
Koninklijke KPN N.V.,0.62,2023-10-19,NL0000009082,Citadel Advisors Europe Limited,archive
Flow Traders Ltd.,0.72,2023-10-19,BMG3602E1084,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.99,2023-10-19,NL0012866412,Millennium International Management LP,archive
Alfen N.V.,1.28,2023-10-19,NL0012817175,Qube Research & Technologies Ltd.,archive
Ferrovial N.V>,0.5,2023-10-18,NL0015001FS8,"AQR Capital Management, LLC",archive
BE Semiconductor Industries N.V.,1.0,2023-10-18,NL0012866412,Millennium International Management LP,archive
BE Semiconductor Industries N.V.,0.8,2023-10-18,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,1.41,2023-10-17,NL0012817175,AHL Partners LLP,archive
Alfen N.V.,0.82,2023-10-17,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Ebusco Holding N.V.,0.58,2023-10-17,NL0015000CZ2,GSA Capital Partners LLP,archive
Adyen N.V.,0.99,2023-10-17,NL0012969182,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.6,2023-10-17,NL0012866412,Millennium Capital Management France SAS,archive
ASR Nederland N.V.,0.43,2023-10-17,NL0011872643,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.7,2023-10-17,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,0.79,2023-10-16,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Pharming Group N.V.,1.2,2023-10-16,NL0010391025,Marshall Wace LLP,archive
ASR Nederland N.V.,0.53,2023-10-16,NL0011872643,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,0.68,2023-10-13,NL0000888691,AHL Partners LLP,archive
Koninklijke Philips N.V.,1.0,2023-10-13,NL0000009538,Citadel Advisors LLC,archive
Alfen N.V.,0.8,2023-10-13,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,0.5,2023-10-13,NL0012817175,Jupiter Investment Management Limited,archive
Flow Traders Ltd.,0.62,2023-10-13,BMG3602E1084,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.59,2023-10-13,NL0012866412,Millennium Capital Management France SAS,archive
Alfen N.V.,1.34,2023-10-13,NL0012817175,Qube Research & Technologies Ltd.,archive
SBM Offshore N.V.,0.49,2023-10-12,NL0000360618,"AQR Capital Management, LLC",archive
Flow Traders Ltd.,0.49,2023-10-12,BMG3602E1084,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.16,2023-10-12,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,1.97,2023-10-12,NL0012817175,JPMorgan Asset Management (UK) Ltd.,archive
AMG Critical Materials N.V.,0.25,2023-10-12,NL0000888691,Millennium Capital Partners LLP,archive
Koninklijke KPN N.V.,0.52,2023-10-11,NL0000009082,Citadel Advisors Europe Limited,archive
AMG Critical Materials N.V.,1.2,2023-10-11,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,2.08,2023-10-11,NL0012817175,JPMorgan Asset Management (UK) Ltd.,archive
Koninklijke BAM Groep N.V.,0.5,2023-10-11,NL0000337319,Marshall Wace LLP,archive
Adyen N.V.,0.54,2023-10-11,NL0012969182,Qube Research & Technologies Ltd.,archive
AMG Critical Materials N.V.,0.38,2023-10-10,NL0000888691,Capital Fund Management S.A.,archive
Koninklijke KPN N.V.,0.49,2023-10-10,NL0000009082,Citadel Advisors Europe Limited,archive
NSI N.V.,0.48,2023-10-10,NL0012365084,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.18,2023-10-10,NL0000888691,"D. E. Shaw & Co., L.P.",archive
BE Semiconductor Industries N.V.,0.61,2023-10-10,NL0012866412,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.5,2023-10-10,NL0000888691,Millennium Capital Partners LLP,archive
BE Semiconductor Industries N.V.,0.7,2023-10-10,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,1.24,2023-10-10,NL0012817175,Qube Research & Technologies Ltd.,archive
Koninklijke Philips N.V.,0.61,2023-10-10,NL0000009538,Viking Global Investors LP,archive
Koninklijke KPN N.V.,0.52,2023-10-09,NL0000009082,Citadel Advisors Europe Limited,archive
Flow Traders Ltd.,0.51,2023-10-09,BMG3602E1084,Marshall Wace LLP,archive
Alfen N.V.,0.58,2023-10-09,NL0012817175,"WorldQuant, LLC",archive
Alfen N.V.,1.35,2023-10-06,NL0012817175,AHL Partners LLP,archive
Koninklijke Philips N.V.,0.95,2023-10-06,NL0000009538,Citadel Advisors LLC,archive
NSI N.V.,0.5,2023-10-06,NL0012365084,Citadel Advisors LLC,archive
Koninklijke Philips N.V.,0.72,2023-10-06,NL0000009538,Greenvale Capital LLP,archive
Alfen N.V.,0.48,2023-10-06,NL0012817175,Marshall Wace LLP,archive
Alfen N.V.,1.31,2023-10-06,NL0012817175,Qube Research & Technologies Ltd.,archive
Pharming Group N.V.,1.12,2023-10-05,NL0010391025,Marshall Wace LLP,archive
SBM Offshore N.V.,0.5,2023-10-04,NL0000360618,"AQR Capital Management, LLC",archive
Flow Traders Ltd.,0.58,2023-10-04,BMG3602E1084,Citadel Advisors LLC,archive
Ebusco Holding N.V.,0.62,2023-10-04,NL0015000CZ2,GSA Capital Partners LLP,archive
Alfen N.V.,0.53,2023-10-04,NL0012817175,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.6,2023-10-04,NL0012866412,Millennium Capital Management France SAS,archive
Alfen N.V.,0.69,2023-10-04,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,1.22,2023-10-03,NL0012817175,AHL Partners LLP,archive
Flow Traders Ltd.,0.6,2023-10-03,BMG3602E1084,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.22,2023-10-03,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Adyen N.V.,1.04,2023-10-03,NL0012969182,Marshall Wace LLP,archive
Pharming Group N.V.,1.04,2023-10-03,NL0010391025,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.51,2023-10-02,NL0000888691,Capital Fund Management S.A.,archive
Flow Traders Ltd.,0.57,2023-10-02,BMG3602E1084,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.51,2023-10-02,NL0012866412,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.59,2023-10-02,NL0012866412,Millennium Capital Management France SAS,archive
BE Semiconductor Industries N.V.,0.92,2023-09-29,NL0012866412,Millennium International Management LP,archive
PostNL N.V.,0.49,2023-09-29,NL0009739416,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.13,2023-09-28,NL0012817175,AHL Partners LLP,archive
AMG Critical Materials N.V.,0.46,2023-09-28,NL0000888691,Millennium Capital Partners LLP,archive
Basic-Fit N.V.,0.5,2023-09-28,NL0011872650,Wellington Management International Ltd.,archive
Alfen N.V.,0.68,2023-09-28,NL0012817175,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.7,2023-09-27,NL0000888691,AHL Partners LLP,archive
AMG Critical Materials N.V.,0.49,2023-09-27,NL0000888691,Capital Fund Management S.A.,archive
BE Semiconductor Industries N.V.,0.6,2023-09-27,NL0012866412,Millennium Capital Management France SAS,archive
BE Semiconductor Industries N.V.,0.6,2023-09-27,NL0012866412,"Point72 Asset Management, L.P.",archive
Alfen N.V.,1.29,2023-09-27,NL0012817175,Qube Research & Technologies Ltd.,archive
Alfen N.V.,1.05,2023-09-26,NL0012817175,AHL Partners LLP,archive
SBM Offshore N.V.,0.49,2023-09-26,NL0000360618,"AQR Capital Management, LLC",archive
Koninklijke KPN N.V.,0.48,2023-09-26,NL0000009082,Citadel Advisors Europe Limited,archive
Alfen N.V.,0.71,2023-09-26,NL0012817175,"D. E. Shaw & Co., L.P.",archive
Koninklijke BAM Groep N.V.,0.49,2023-09-26,NL0000337319,Marshall Wace LLP,archive
Pharming Group N.V.,0.93,2023-09-26,NL0010391025,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.57,2023-09-26,NL0012866412,Millennium Capital Management France SAS,archive
Aperam S.A.,0.39,2023-09-26,LU0569974404,Pantechnicon Advisors LLP,archive
Koninklijke Philips N.V.,0.88,2023-09-25,NL0000009538,Citadel Advisors LLC,archive
Adyen N.V.,0.93,2023-09-25,NL0012969182,Marshall Wace LLP,archive
Koninklijke KPN N.V.,0.47,2023-09-25,NL0000009082,Syquant Capital,archive
Basic-Fit N.V.,0.6,2023-09-22,NL0011872650,CapeView Capital LLP,archive
Koninklijke Philips N.V.,0.9,2023-09-22,NL0000009538,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,0.54,2023-09-22,NL0012866412,"Point72 Asset Management, L.P.",archive
PostNL N.V.,0.58,2023-09-22,NL0009739416,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.93,2023-09-21,NL0012817175,AHL Partners LLP,archive
Koninklijke KPN N.V.,0.57,2023-09-21,NL0000009082,Citadel Advisors Europe Limited,archive
Ebusco Holding N.V.,0.5,2023-09-21,NL0015000CZ2,GSA Capital Partners LLP,archive
Adyen N.V.,0.86,2023-09-21,NL0012969182,Marshall Wace LLP,archive
Pharming Group N.V.,0.82,2023-09-21,NL0010391025,Marshall Wace LLP,archive
AMG Critical Materials N.V.,0.6,2023-09-21,NL0000888691,Millennium Capital Partners LLP,archive
BE Semiconductor Industries N.V.,0.82,2023-09-21,NL0012866412,Millennium International Management LP,archive
Alfen N.V.,0.49,2023-09-21,NL0012817175,Squarepoint Ops LLC,archive
Alfen N.V.,0.79,2023-09-21,NL0012817175,"WorldQuant, LLC",archive
Koninklijke Philips N.V.,0.89,2023-09-20,NL0000009538,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,0.5,2023-09-20,NL0000888691,Millennium Capital Partners LLP,archive
Koninklijke KPN N.V.,0.61,2023-09-19,NL0000009082,Citadel Advisors Europe Limited,archive
Adyen N.V.,0.77,2023-09-19,NL0012969182,Marshall Wace LLP,archive
Alfen N.V.,0.81,2023-09-18,NL0012817175,AHL Partners LLP,archive
Koninklijke BAM Groep N.V.,0.59,2023-09-18,NL0000337319,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.79,2023-09-18,NL0012866412,Millennium International Management LP,archive
Galapagos NV,0.5,2023-09-18,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.58,2023-09-18,NL0012817175,Squarepoint Ops LLC,archive
Alfen N.V.,0.81,2023-09-18,NL0012817175,"WorldQuant, LLC",archive
Koninklijke KPN N.V.,0.57,2023-09-15,NL0000009082,Citadel Advisors Europe Limited,archive
BE Semiconductor Industries N.V.,0.62,2023-09-15,NL0012866412,Millennium Capital Management France SAS,archive
Galapagos NV,0.49,2023-09-15,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.7,2023-09-15,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,0.74,2023-09-14,NL0012817175,AHL Partners LLP,archive
AMG Critical Materials N.V.,1.13,2023-09-14,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Adyen N.V.,0.6,2023-09-14,NL0012969182,Marshall Wace LLP,archive
BE Semiconductor Industries N.V.,0.59,2023-09-14,NL0012866412,Millennium Capital Management France SAS,archive
AMG Critical Materials N.V.,0.56,2023-09-13,NL0000888691,Capital Fund Management S.A.,archive
Alfen N.V.,0.39,2023-09-13,NL0012817175,Citadel Advisors LLC,archive
Koninklijke Philips N.V.,0.9,2023-09-13,NL0000009538,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.2,2023-09-13,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Pharming Group N.V.,0.7,2023-09-13,NL0010391025,Marshall Wace LLP,archive
PostNL N.V.,0.69,2023-09-13,NL0009739416,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.64,2023-09-13,NL0012817175,Squarepoint Ops LLC,archive
AMG Critical Materials N.V.,0.6,2023-09-12,NL0000888691,Capital Fund Management S.A.,archive
BE Semiconductor Industries N.V.,0.78,2023-09-12,NL0012866412,"Davidson Kempner European Partners, LLP",archive
BE Semiconductor Industries N.V.,0.67,2023-09-12,NL0012866412,Millennium Capital Management France SAS,archive
Alfen N.V.,0.71,2023-09-12,NL0012817175,Squarepoint Ops LLC,archive
Alfen N.V.,0.63,2023-09-11,NL0012817175,AHL Partners LLP,archive
Basic-Fit N.V.,0.59,2023-09-11,NL0011872650,CapeView Capital LLP,archive
Adyen N.V.,0.52,2023-09-11,NL0012969182,Marshall Wace LLP,archive
Koninklijke BAM Groep N.V.,0.68,2023-09-11,NL0000337319,Marshall Wace LLP,archive
Alfen N.V.,0.53,2023-09-08,NL0012817175,Citadel Advisors LLC,archive
Alfen N.V.,0.67,2023-09-08,NL0012817175,Voleon Capital Management LP,archive
Alfen N.V.,0.6,2023-09-07,NL0012817175,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,1.1,2023-09-07,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,0.51,2023-09-06,NL0012817175,AHL Partners LLP,archive
Basic-Fit N.V.,0.6,2023-09-06,NL0011872650,CapeView Capital LLP,archive
Alfen N.V.,0.59,2023-09-06,NL0012817175,Citadel Advisors LLC,archive
Alfen N.V.,0.65,2023-09-06,NL0012817175,"D. E. Shaw & Co., L.P.",archive
AMG Critical Materials N.V.,1.01,2023-09-06,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Galapagos NV,0.51,2023-09-06,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.79,2023-09-06,NL0012817175,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.69,2023-09-05,NL0000888691,AHL Partners LLP,archive
Basic-Fit N.V.,0.59,2023-09-05,NL0011872650,CapeView Capital LLP,archive
AMG Critical Materials N.V.,0.96,2023-09-05,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Basic-Fit N.V.,0.71,2023-09-04,NL0011872650,CapeView Capital LLP,archive
AMG Critical Materials N.V.,0.88,2023-09-04,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Alfen N.V.,1.3,2023-09-04,NL0012817175,Qube Research & Technologies Ltd.,archive
Galapagos NV,0.49,2023-09-04,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.7,2023-09-04,NL0012817175,Voleon Capital Management LP,archive
BE Semiconductor Industries N.V.,0.8,2023-09-01,NL0012866412,Millennium International Management LP,archive
Aperam S.A.,0.63,2023-09-01,LU0569974404,Pantechnicon Advisors LLP,archive
Galapagos NV,0.5,2023-09-01,BE0003818359,Qube Research & Technologies Ltd.,archive
Alfen N.V.,0.83,2023-09-01,NL0012817175,"WorldQuant, LLC",archive
SBM Offshore N.V.,0.5,2023-08-31,NL0000360618,"AQR Capital Management, LLC",archive
Galapagos NV,1.56,2023-08-31,BE0003818359,"Arrowstreet Capital, Limited Partnership",archive
BE Semiconductor Industries N.V.,0.78,2023-08-31,NL0012866412,Millennium International Management LP,archive
Koninklijke KPN N.V.,0.51,2023-08-31,NL0000009082,Syquant Capital,archive
IMCD N.V.,0.5,2023-08-30,NL0010801007,"AQR Capital Management, LLC",archive
AMG Critical Materials N.V.,0.52,2023-08-30,NL0000888691,Capital Fund Management S.A.,archive
Alfen N.V.,0.6,2023-08-30,NL0012817175,Citadel Advisors LLC,archive
AMG Critical Materials N.V.,0.97,2023-08-30,NL0000888691,"D. E. Shaw & Co., L.P.",archive
Pharming Group N.V.,0.6,2023-08-30,NL0010391025,Marshall Wace LLP,archive
Alfen N.V.,0.72,2023-08-30,NL0012817175,"WorldQuant, LLC",archive
