issuer_name,net_short_position,position_date,isin,position_holder,source
PostNL N.V.,0.81,2021-08-20,NL0009739416,"WorldQuant, LLC",archive
Koninklijke Vopak N.V.,0.62,2021-08-19,NL0009432491,Marshall Wace LLP,archive
Aperam S.A.,0.43,2021-08-19,LU0569974404,Millennium Capital Partners LLP,archive
AMG Critical Materials N.V.,0.5,2021-08-19,NL0000888691,"TGS Management Company, LLC",archive
SBM Offshore N.V.,0.49,2021-08-19,NL0000360618,Voleon Capital Management LP,archive
Pharming Group N.V.,0.7,2021-08-19,NL0010391025,"WorldQuant, LLC",archive
Pharming Group N.V.,0.6,2021-08-17,NL0010391025,"WorldQuant, LLC",archive
PostNL N.V.,0.75,2021-08-17,NL0009739416,"WorldQuant, LLC",archive
ABN AMRO Bank NV,0.89,2021-08-16,NL0011540547,Marshall Wace LLP,archive
Aperam S.A.,0.48,2021-08-13,LU0569974404,Citadel Europe LLP,archive
Alfen N.V.,0.91,2021-08-13,NL0012817175,Marshall Wace LLP,archive
PostNL N.V.,0.68,2021-08-13,NL0009739416,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.52,2021-08-12,NL0000888691,"PDT Partners, LLC",archive
Pharming Group N.V.,0.56,2021-08-12,NL0010391025,"WorldQuant, LLC",archive
PostNL N.V.,0.56,2021-08-12,NL0009739416,"WorldQuant, LLC",archive
AMG Critical Materials N.V.,0.49,2021-08-11,NL0000888691,"PDT Partners, LLC",archive
AMG Critical Materials N.V.,0.47,2021-08-10,NL0000888691,Citadel Advisors LLC,archive
Pharming Group N.V.,0.47,2021-08-10,NL0010391025,Citadel Advisors LLC,archive
SBM Offshore N.V.,0.5,2021-08-10,NL0000360618,Voleon Capital Management LP,archive
AMG Critical Materials N.V.,0.5,2021-08-09,NL0000888691,Citadel Advisors LLC,archive
Pharming Group N.V.,0.64,2021-08-09,NL0010391025,"WorldQuant, LLC",archive
STMicroelectronics N.V.,0.35,2021-08-06,NL0000226223,BNP Paribas S.A.,archive
Pharming Group N.V.,0.54,2021-08-06,NL0010391025,Citadel Advisors LLC,archive
BE Semiconductor Industries N.V.,1.01,2021-08-06,NL0012866412,"Davidson Kempner European Partners, LLP",archive
Pharming Group N.V.,0.47,2021-08-06,NL0010391025,"PDT Partners, LLC",archive
Unibail-Rodamco-Westfield SE,0.97,2021-08-06,FR0013326246,Tiger Global Management LLC,archive
Pharming Group N.V.,0.5,2021-08-06,NL0010391025,"WorldQuant, LLC",archive
Basic-Fit N.V.,0.7,2021-08-05,NL0011872650,Canada Pension Plan Investment Board,archive
Pharming Group N.V.,0.47,2021-08-05,NL0010391025,"Great Point Partners, LLC",archive
ARCADIS N.V.,0.77,2021-08-05,NL0006237562,Lansdowne Partners (UK) LLP,archive
Pharming Group N.V.,0.53,2021-08-05,NL0010391025,"PDT Partners, LLC",archive
Unibail-Rodamco-Westfield SE,1.01,2021-08-05,FR0013326246,Tiger Global Management LLC,archive
Fugro N.V.,0.49,2021-08-04,NL00150003E1,Capital Fund Management S.A.,archive
Unibail-Rodamco-Westfield SE,1.27,2021-08-04,FR0013326246,Tiger Global Management LLC,archive
Basic-Fit N.V.,0.62,2021-08-03,NL0011872650,Canada Pension Plan Investment Board,archive
Fugro N.V.,0.5,2021-08-03,NL00150003E1,Capital Fund Management S.A.,archive
AMG Critical Materials N.V.,0.47,2021-08-03,NL0000888691,Citadel Advisors LLC,archive
Pharming Group N.V.,0.85,2021-08-03,NL0010391025,"Great Point Partners, LLC",archive
Alfen N.V.,0.8,2021-08-03,NL0012817175,Marshall Wace LLP,archive
Koninklijke Vopak N.V.,0.5,2021-08-03,NL0009432491,Marshall Wace LLP,archive
STMicroelectronics N.V.,0.58,2021-07-30,NL0000226223,BNP Paribas S.A.,archive
AMG Critical Materials N.V.,0.52,2021-07-30,NL0000888691,Citadel Advisors LLC,archive
