issuer_name,position_date,isin,position_holder,net_short_position,source
Koninklijke KPN N.V.,2023-11-06,NL0000009082,Citadel Advisors Europe Limited,0.56,archive
Koninklijke Philips N.V.,2023-11-06,NL0000009538,Citadel Advisors LLC,1.0,archive
Alfen N.V.,2023-11-06,NL0012817175,"D. E. Shaw & Co., L.P.",0.68,archive
AMG Critical Materials N.V.,2023-11-06,NL0000888691,"D. E. Shaw & Co., L.P.",1.1,archive
SBM Offshore N.V.,2023-11-06,NL0000360618,JPMorgan Asset Management (UK) Ltd.,0.79,archive
Adyen N.V.,2023-11-06,NL0012969182,Qube Research & Technologies Ltd.,0.6,archive
Alfen N.V.,2023-11-06,NL0012817175,Voleon Capital Management LP,0.81,archive
AMG Critical Materials N.V.,2023-11-03,NL0000888691,Citadel Advisors LLC,0.55,archive
Aperam S.A.,2023-11-03,LU0569974404,"ExodusPoint Capital Management, LP",0.61,archive
Alfen N.V.,2023-11-03,NL0012817175,FIL Investments International,0.42,archive
Adyen N.V.,2023-11-03,NL0012969182,Marshall Wace LLP,0.75,archive
BE Semiconductor Industries N.V.,2023-11-03,NL0012866412,Marshall Wace LLP,0.57,archive
BE Semiconductor Industries N.V.,2023-11-03,NL0012866412,"Point72 Asset Management, L.P.",1.47,archive
Adyen N.V.,2023-11-03,NL0012969182,Qube Research & Technologies Ltd.,0.59,archive
Alfen N.V.,2023-11-02,NL0012817175,AHL Partners LLP,1.29,archive
AMG Critical Materials N.V.,2023-11-02,NL0000888691,AHL Partners LLP,0.59,archive
Basic-Fit N.V.,2023-11-02,NL0011872650,CapeView Capital LLP,0.57,archive
Koninklijke KPN N.V.,2023-11-02,NL0000009082,Citadel Advisors Europe Limited,0.68,archive
AMG Critical Materials N.V.,2023-11-02,NL0000888691,"D. E. Shaw & Co., L.P.",1.09,archive
Vivoryon Therapeutics N.V.,2023-11-02,NL00150002Q7,Janus Henderson Investors UK Limited,1.36,archive
BE Semiconductor Industries N.V.,2023-11-02,NL0012866412,Marshall Wace LLP,0.64,archive
Pharming Group N.V.,2023-11-02,NL0010391025,Marshall Wace LLP,1.09,archive
BE Semiconductor Industries N.V.,2023-11-02,NL0012866412,"Point72 Asset Management, L.P.",1.52,archive
Alfen N.V.,2023-11-02,NL0012817175,"WorldQuant, LLC",0.6,archive
Alfen N.V.,2023-11-01,NL0012817175,AHL Partners LLP,1.36,archive
BE Semiconductor Industries N.V.,2023-11-01,NL0012866412,"Davidson Kempner European Partners, LLP",0.8,archive
Corbion N.V.,2023-11-01,NL0010583399,JPMorgan Asset Management (UK) Ltd.,0.55,archive
BE Semiconductor Industries N.V.,2023-11-01,NL0012866412,Marshall Wace LLP,0.73,archive
Koninklijke BAM Groep N.V.,2023-11-01,NL0000337319,Marshall Wace LLP,0.49,archive
Basic-Fit N.V.,2023-10-31,NL0011872650,CapeView Capital LLP,0.61,archive
Koninklijke KPN N.V.,2023-10-31,NL0000009082,Citadel Advisors Europe Limited,0.78,archive
Vivoryon Therapeutics N.V.,2023-10-31,NL00150002Q7,Janus Henderson Investors UK Limited,1.2,archive
BE Semiconductor Industries N.V.,2023-10-31,NL0012866412,Marshall Wace LLP,0.69,archive
BE Semiconductor Industries N.V.,2023-10-31,NL0012866412,"Point72 Asset Management, L.P.",1.4,archive
Alfen N.V.,2023-10-31,NL0012817175,Qube Research & Technologies Ltd.,0.96,archive
Adyen N.V.,2023-10-30,NL0012969182,"AQR Capital Management, LLC",0.5,archive
Signify N.V.,2023-10-30,NL0011821392,BlackRock Investment Management (UK) Limited,0.94,archive
AMG Critical Materials N.V.,2023-10-30,NL0000888691,Citadel Advisors LLC,0.44,archive
Alfen N.V.,2023-10-30,NL0012817175,Qube Research & Technologies Ltd.,1.02,archive
Galapagos NV,2023-10-30,BE0003818359,Qube Research & Technologies Ltd.,0.49,archive
Signify N.V.,2023-10-27,NL0011821392,AKO Capital LLP,0.41,archive
Signify N.V.,2023-10-27,NL0011821392,BlackRock Investment Management (UK) Limited,0.8,archive
Koninklijke KPN N.V.,2023-10-27,NL0000009082,Citadel Advisors Europe Limited,0.82,archive
Alfen N.V.,2023-10-27,NL0012817175,"D. E. Shaw & Co., L.P.",0.79,archive
Pharming Group N.V.,2023-10-27,NL0010391025,Marshall Wace LLP,1.16,archive
BE Semiconductor Industries N.V.,2023-10-27,NL0012866412,"Point72 Asset Management, L.P.",1.35,archive
AMG Critical Materials N.V.,2023-10-26,NL0000888691,AHL Partners LLP,0.6,archive
Signify N.V.,2023-10-26,NL0011821392,BlackRock Investment Management (UK) Limited,0.55,archive
Aperam S.A.,2023-10-26,LU0569974404,"ExodusPoint Capital Management, LP",0.5,archive
BE Semiconductor Industries N.V.,2023-10-26,NL0012866412,GLG Partners LP,0.5,archive
BE Semiconductor Industries N.V.,2023-10-26,NL0012866412,Millennium International Management LP,0.85,archive
BE Semiconductor Industries N.V.,2023-10-26,NL0012866412,"Point72 Asset Management, L.P.",1.26,archive
Koninklijke KPN N.V.,2023-10-25,NL0000009082,Citadel Advisors Europe Limited,0.71,archive
Koninklijke Philips N.V.,2023-10-25,NL0000009538,Citadel Advisors LLC,0.9,archive
Alfen N.V.,2023-10-25,NL0012817175,"D. E. Shaw & Co., L.P.",0.82,archive
TomTom N.V.,2023-10-25,NL0013332471,Franklin Templeton Investment Management Limited,0.6,archive
BE Semiconductor Industries N.V.,2023-10-25,NL0012866412,Marshall Wace LLP,0.72,archive
BE Semiconductor Industries N.V.,2023-10-25,NL0012866412,Millennium International Management LP,0.93,archive
TomTom N.V.,2023-10-25,NL0013332471,Otus Capital Management Ltd.,0.77,archive
BE Semiconductor Industries N.V.,2023-10-25,NL0012866412,"Point72 Asset Management, L.P.",1.06,archive
Koninklijke KPN N.V.,2023-10-25,NL0000009082,Syquant Capital,0.51,archive
DSM-Firmenich AG,2023-10-24,CH1216478797,"AQR Capital Management, LLC",0.5,archive
Koninklijke Philips N.V.,2023-10-24,NL0000009538,Citadel Advisors LLC,0.89,archive
AMG Critical Materials N.V.,2023-10-24,NL0000888691,"D. E. Shaw & Co., L.P.",1.14,archive
TomTom N.V.,2023-10-24,NL0013332471,Franklin Templeton Investment Management Limited,0.55,archive
ARCADIS N.V.,2023-10-24,NL0006237562,Marshall Wace LLP,0.49,archive
Flow Traders Ltd.,2023-10-24,BMG3602E1084,Marshall Wace LLP,0.82,archive
Adyen N.V.,2023-10-24,NL0012969182,Qube Research & Technologies Ltd.,0.61,archive
Alfen N.V.,2023-10-24,NL0012817175,Qube Research & Technologies Ltd.,1.15,archive
AMG Critical Materials N.V.,2023-10-23,NL0000888691,AHL Partners LLP,0.59,archive
Koninklijke KPN N.V.,2023-10-23,NL0000009082,Citadel Advisors Europe Limited,0.66,archive
AMG Critical Materials N.V.,2023-10-23,NL0000888691,Citadel Advisors LLC,0.54,archive
Alfen N.V.,2023-10-23,NL0012817175,"D. E. Shaw & Co., L.P.",0.78,archive
Alfen N.V.,2023-10-23,NL0012817175,FIL Investments International,0.52,archive
Ebusco Holding N.V.,2023-10-23,NL0015000CZ2,GSA Capital Partners LLP,0.49,archive
SBM Offshore N.V.,2023-10-23,NL0000360618,JPMorgan Asset Management (UK) Ltd.,0.8,archive
Adyen N.V.,2023-10-23,NL0012969182,Marshall Wace LLP,0.88,archive
ARCADIS N.V.,2023-10-23,NL0006237562,Marshall Wace LLP,0.5,archive
BE Semiconductor Industries N.V.,2023-10-23,NL0012866412,Millennium International Management LP,1.02,archive
TomTom N.V.,2023-10-23,NL0013332471,Otus Capital Management Ltd.,0.87,archive
BE Semiconductor Industries N.V.,2023-10-23,NL0012866412,"Point72 Asset Management, L.P.",0.91,archive
Alfen N.V.,2023-10-23,NL0012817175,Voleon Capital Management LP,0.71,archive
Alfen N.V.,2023-10-20,NL0012817175,AHL Partners LLP,1.43,archive
Koninklijke KPN N.V.,2023-10-20,NL0000009082,Citadel Advisors Europe Limited,0.72,archive
Koninklijke Philips N.V.,2023-10-20,NL0000009538,Citadel Advisors LLC,0.98,archive
AMG Critical Materials N.V.,2023-10-20,NL0000888691,"D. E. Shaw & Co., L.P.",1.21,archive
TomTom N.V.,2023-10-20,NL0013332471,Otus Capital Management Ltd.,0.91,archive
Alfen N.V.,2023-10-20,NL0012817175,Voleon Capital Management LP,0.68,archive
Alfen N.V.,2023-10-19,NL0012817175,AHL Partners LLP,1.39,archive
Randstad N.V.,2023-10-19,NL0000379121,AKO Capital LLP,0.51,archive
Basic-Fit N.V.,2023-10-19,NL0011872650,CapeView Capital LLP,0.52,archive
Koninklijke KPN N.V.,2023-10-19,NL0000009082,Citadel Advisors Europe Limited,0.62,archive
Flow Traders Ltd.,2023-10-19,BMG3602E1084,Marshall Wace LLP,0.72,archive
BE Semiconductor Industries N.V.,2023-10-19,NL0012866412,Millennium International Management LP,0.99,archive
Alfen N.V.,2023-10-19,NL0012817175,Qube Research & Technologies Ltd.,1.28,archive
Ferrovial SE,2023-10-18,NL0015001FS8,"AQR Capital Management, LLC",0.5,archive
BE Semiconductor Industries N.V.,2023-10-18,NL0012866412,Millennium International Management LP,1.0,archive
BE Semiconductor Industries N.V.,2023-10-18,NL0012866412,"Point72 Asset Management, L.P.",0.8,archive
Alfen N.V.,2023-10-17,NL0012817175,AHL Partners LLP,1.41,archive
Alfen N.V.,2023-10-17,NL0012817175,"D. E. Shaw & Co., L.P.",0.82,archive
Ebusco Holding N.V.,2023-10-17,NL0015000CZ2,GSA Capital Partners LLP,0.58,archive
Adyen N.V.,2023-10-17,NL0012969182,Marshall Wace LLP,0.99,archive
BE Semiconductor Industries N.V.,2023-10-17,NL0012866412,Millennium Capital Management France SAS,0.6,archive
ASR Nederland N.V.,2023-10-17,NL0011872643,Qube Research & Technologies Ltd.,0.43,archive
Alfen N.V.,2023-10-17,NL0012817175,Voleon Capital Management LP,0.7,archive
Alfen N.V.,2023-10-16,NL0012817175,"D. E. Shaw & Co., L.P.",0.79,archive
Pharming Group N.V.,2023-10-16,NL0010391025,Marshall Wace LLP,1.2,archive
ASR Nederland N.V.,2023-10-16,NL0011872643,Qube Research & Technologies Ltd.,0.53,archive
AMG Critical Materials N.V.,2023-10-13,NL0000888691,AHL Partners LLP,0.68,archive
Koninklijke Philips N.V.,2023-10-13,NL0000009538,Citadel Advisors LLC,1.0,archive
Alfen N.V.,2023-10-13,NL0012817175,"D. E. Shaw & Co., L.P.",0.8,archive
Alfen N.V.,2023-10-13,NL0012817175,Jupiter Investment Management Limited,0.5,archive
Flow Traders Ltd.,2023-10-13,BMG3602E1084,Marshall Wace LLP,0.62,archive
BE Semiconductor Industries N.V.,2023-10-13,NL0012866412,Millennium Capital Management France SAS,0.59,archive
Alfen N.V.,2023-10-13,NL0012817175,Qube Research & Technologies Ltd.,1.34,archive
SBM Offshore N.V.,2023-10-12,NL0000360618,"AQR Capital Management, LLC",0.49,archive
Flow Traders Ltd.,2023-10-12,BMG3602E1084,Citadel Advisors LLC,0.49,archive
AMG Critical Materials N.V.,2023-10-12,NL0000888691,"D. E. Shaw & Co., L.P.",1.16,archive
Alfen N.V.,2023-10-12,NL0012817175,JPMorgan Asset Management (UK) Ltd.,1.97,archive
AMG Critical Materials N.V.,2023-10-12,NL0000888691,Millennium Capital Partners LLP,0.25,archive
Koninklijke KPN N.V.,2023-10-11,NL0000009082,Citadel Advisors Europe Limited,0.52,archive
AMG Critical Materials N.V.,2023-10-11,NL0000888691,"D. E. Shaw & Co., L.P.",1.2,archive
Alfen N.V.,2023-10-11,NL0012817175,JPMorgan Asset Management (UK) Ltd.,2.08,archive
Koninklijke BAM Groep N.V.,2023-10-11,NL0000337319,Marshall Wace LLP,0.5,archive
Adyen N.V.,2023-10-11,NL0012969182,Qube Research & Technologies Ltd.,0.54,archive
AMG Critical Materials N.V.,2023-10-10,NL0000888691,Capital Fund Management S.A.,0.38,archive
Koninklijke KPN N.V.,2023-10-10,NL0000009082,Citadel Advisors Europe Limited,0.49,archive
NSI N.V.,2023-10-10,NL0012365084,Citadel Advisors LLC,0.48,archive
AMG Critical Materials N.V.,2023-10-10,NL0000888691,"D. E. Shaw & Co., L.P.",1.18,archive
BE Semiconductor Industries N.V.,2023-10-10,NL0012866412,Marshall Wace LLP,0.61,archive
AMG Critical Materials N.V.,2023-10-10,NL0000888691,Millennium Capital Partners LLP,0.5,archive
BE Semiconductor Industries N.V.,2023-10-10,NL0012866412,"Point72 Asset Management, L.P.",0.7,archive
Alfen N.V.,2023-10-10,NL0012817175,Qube Research & Technologies Ltd.,1.24,archive
Koninklijke Philips N.V.,2023-10-10,NL0000009538,Viking Global Investors LP,0.61,archive
Koninklijke KPN N.V.,2023-10-09,NL0000009082,Citadel Advisors Europe Limited,0.52,archive
Flow Traders Ltd.,2023-10-09,BMG3602E1084,Marshall Wace LLP,0.51,archive
Alfen N.V.,2023-10-09,NL0012817175,"WorldQuant, LLC",0.58,archive
Alfen N.V.,2023-10-06,NL0012817175,AHL Partners LLP,1.35,archive
Koninklijke Philips N.V.,2023-10-06,NL0000009538,Citadel Advisors LLC,0.95,archive
NSI N.V.,2023-10-06,NL0012365084,Citadel Advisors LLC,0.5,archive
Koninklijke Philips N.V.,2023-10-06,NL0000009538,Greenvale Capital LLP,0.72,archive
Alfen N.V.,2023-10-06,NL0012817175,Marshall Wace LLP,0.48,archive
Alfen N.V.,2023-10-06,NL0012817175,Qube Research & Technologies Ltd.,1.31,archive
Pharming Group N.V.,2023-10-05,NL0010391025,Marshall Wace LLP,1.12,archive
SBM Offshore N.V.,2023-10-04,NL0000360618,"AQR Capital Management, LLC",0.5,archive
Flow Traders Ltd.,2023-10-04,BMG3602E1084,Citadel Advisors LLC,0.58,archive
Ebusco Holding N.V.,2023-10-04,NL0015000CZ2,GSA Capital Partners LLP,0.62,archive
Alfen N.V.,2023-10-04,NL0012817175,Marshall Wace LLP,0.53,archive
BE Semiconductor Industries N.V.,2023-10-04,NL0012866412,Millennium Capital Management France SAS,0.6,archive
Alfen N.V.,2023-10-04,NL0012817175,Voleon Capital Management LP,0.69,archive
Alfen N.V.,2023-10-03,NL0012817175,AHL Partners LLP,1.22,archive
Flow Traders Ltd.,2023-10-03,BMG3602E1084,Citadel Advisors LLC,0.6,archive
AMG Critical Materials N.V.,2023-10-03,NL0000888691,"D. E. Shaw & Co., L.P.",1.22,archive
Adyen N.V.,2023-10-03,NL0012969182,Marshall Wace LLP,1.04,archive
Pharming Group N.V.,2023-10-03,NL0010391025,Marshall Wace LLP,1.04,archive
AMG Critical Materials N.V.,2023-10-02,NL0000888691,Capital Fund Management S.A.,0.51,archive
Flow Traders Ltd.,2023-10-02,BMG3602E1084,Citadel Advisors LLC,0.57,archive
BE Semiconductor Industries N.V.,2023-10-02,NL0012866412,Marshall Wace LLP,0.51,archive
BE Semiconductor Industries N.V.,2023-10-02,NL0012866412,Millennium Capital Management France SAS,0.59,archive
BE Semiconductor Industries N.V.,2023-09-29,NL0012866412,Millennium International Management LP,0.92,archive
PostNL N.V.,2023-09-29,NL0009739416,Qube Research & Technologies Ltd.,0.49,archive
Alfen N.V.,2023-09-28,NL0012817175,AHL Partners LLP,1.13,archive
AMG Critical Materials N.V.,2023-09-28,NL0000888691,Millennium Capital Partners LLP,0.46,archive
Basic-Fit N.V.,2023-09-28,NL0011872650,Wellington Management International Ltd.,0.5,archive
Alfen N.V.,2023-09-28,NL0012817175,"WorldQuant, LLC",0.68,archive
AMG Critical Materials N.V.,2023-09-27,NL0000888691,AHL Partners LLP,0.7,archive
AMG Critical Materials N.V.,2023-09-27,NL0000888691,Capital Fund Management S.A.,0.49,archive
BE Semiconductor Industries N.V.,2023-09-27,NL0012866412,Millennium Capital Management France SAS,0.6,archive
BE Semiconductor Industries N.V.,2023-09-27,NL0012866412,"Point72 Asset Management, L.P.",0.6,archive
Alfen N.V.,2023-09-27,NL0012817175,Qube Research & Technologies Ltd.,1.29,archive
Alfen N.V.,2023-09-26,NL0012817175,AHL Partners LLP,1.05,archive
SBM Offshore N.V.,2023-09-26,NL0000360618,"AQR Capital Management, LLC",0.49,archive
Koninklijke KPN N.V.,2023-09-26,NL0000009082,Citadel Advisors Europe Limited,0.48,archive
Alfen N.V.,2023-09-26,NL0012817175,"D. E. Shaw & Co., L.P.",0.71,archive
Koninklijke BAM Groep N.V.,2023-09-26,NL0000337319,Marshall Wace LLP,0.49,archive
Pharming Group N.V.,2023-09-26,NL0010391025,Marshall Wace LLP,0.93,archive
BE Semiconductor Industries N.V.,2023-09-26,NL0012866412,Millennium Capital Management France SAS,0.57,archive
Aperam S.A.,2023-09-26,LU0569974404,Pantechnicon Advisors LLP,0.39,archive
Koninklijke Philips N.V.,2023-09-25,NL0000009538,Citadel Advisors LLC,0.88,archive
Adyen N.V.,2023-09-25,NL0012969182,Marshall Wace LLP,0.93,archive
Koninklijke KPN N.V.,2023-09-25,NL0000009082,Syquant Capital,0.47,archive
Basic-Fit N.V.,2023-09-22,NL0011872650,CapeView Capital LLP,0.6,archive
Koninklijke Philips N.V.,2023-09-22,NL0000009538,Citadel Advisors LLC,0.9,archive
BE Semiconductor Industries N.V.,2023-09-22,NL0012866412,"Point72 Asset Management, L.P.",0.54,archive
PostNL N.V.,2023-09-22,NL0009739416,Qube Research & Technologies Ltd.,0.58,archive
Alfen N.V.,2023-09-21,NL0012817175,AHL Partners LLP,0.93,archive
Koninklijke KPN N.V.,2023-09-21,NL0000009082,Citadel Advisors Europe Limited,0.57,archive
Ebusco Holding N.V.,2023-09-21,NL0015000CZ2,GSA Capital Partners LLP,0.5,archive
Adyen N.V.,2023-09-21,NL0012969182,Marshall Wace LLP,0.86,archive
Pharming Group N.V.,2023-09-21,NL0010391025,Marshall Wace LLP,0.82,archive
AMG Critical Materials N.V.,2023-09-21,NL0000888691,Millennium Capital Partners LLP,0.6,archive
BE Semiconductor Industries N.V.,2023-09-21,NL0012866412,Millennium International Management LP,0.82,archive
Alfen N.V.,2023-09-21,NL0012817175,Squarepoint Ops LLC,0.49,archive
Alfen N.V.,2023-09-21,NL0012817175,"WorldQuant, LLC",0.79,archive
Koninklijke Philips N.V.,2023-09-20,NL0000009538,Citadel Advisors LLC,0.89,archive
AMG Critical Materials N.V.,2023-09-20,NL0000888691,Millennium Capital Partners LLP,0.5,archive
Koninklijke KPN N.V.,2023-09-19,NL0000009082,Citadel Advisors Europe Limited,0.61,archive
Adyen N.V.,2023-09-19,NL0012969182,Marshall Wace LLP,0.77,archive
Alfen N.V.,2023-09-18,NL0012817175,AHL Partners LLP,0.81,archive
Koninklijke BAM Groep N.V.,2023-09-18,NL0000337319,Marshall Wace LLP,0.59,archive
BE Semiconductor Industries N.V.,2023-09-18,NL0012866412,Millennium International Management LP,0.79,archive
Galapagos NV,2023-09-18,BE0003818359,Qube Research & Technologies Ltd.,0.5,archive
Alfen N.V.,2023-09-18,NL0012817175,Squarepoint Ops LLC,0.58,archive
Alfen N.V.,2023-09-18,NL0012817175,"WorldQuant, LLC",0.81,archive
Koninklijke KPN N.V.,2023-09-15,NL0000009082,Citadel Advisors Europe Limited,0.57,archive
BE Semiconductor Industries N.V.,2023-09-15,NL0012866412,Millennium Capital Management France SAS,0.62,archive
Galapagos NV,2023-09-15,BE0003818359,Qube Research & Technologies Ltd.,0.49,archive
Alfen N.V.,2023-09-15,NL0012817175,Voleon Capital Management LP,0.7,archive
Alfen N.V.,2023-09-14,NL0012817175,AHL Partners LLP,0.74,archive
AMG Critical Materials N.V.,2023-09-14,NL0000888691,"D. E. Shaw & Co., L.P.",1.13,archive
Adyen N.V.,2023-09-14,NL0012969182,Marshall Wace LLP,0.6,archive
BE Semiconductor Industries N.V.,2023-09-14,NL0012866412,Millennium Capital Management France SAS,0.59,archive
AMG Critical Materials N.V.,2023-09-13,NL0000888691,Capital Fund Management S.A.,0.56,archive
Alfen N.V.,2023-09-13,NL0012817175,Citadel Advisors LLC,0.39,archive
Koninklijke Philips N.V.,2023-09-13,NL0000009538,Citadel Advisors LLC,0.9,archive
AMG Critical Materials N.V.,2023-09-13,NL0000888691,"D. E. Shaw & Co., L.P.",1.2,archive
Pharming Group N.V.,2023-09-13,NL0010391025,Marshall Wace LLP,0.7,archive
PostNL N.V.,2023-09-13,NL0009739416,Qube Research & Technologies Ltd.,0.69,archive
Alfen N.V.,2023-09-13,NL0012817175,Squarepoint Ops LLC,0.64,archive
AMG Critical Materials N.V.,2023-09-12,NL0000888691,Capital Fund Management S.A.,0.6,archive
BE Semiconductor Industries N.V.,2023-09-12,NL0012866412,"Davidson Kempner European Partners, LLP",0.78,archive
BE Semiconductor Industries N.V.,2023-09-12,NL0012866412,Millennium Capital Management France SAS,0.67,archive
Alfen N.V.,2023-09-12,NL0012817175,Squarepoint Ops LLC,0.71,archive
Alfen N.V.,2023-09-11,NL0012817175,AHL Partners LLP,0.63,archive
Basic-Fit N.V.,2023-09-11,NL0011872650,CapeView Capital LLP,0.59,archive
Adyen N.V.,2023-09-11,NL0012969182,Marshall Wace LLP,0.52,archive
Koninklijke BAM Groep N.V.,2023-09-11,NL0000337319,Marshall Wace LLP,0.68,archive
Alfen N.V.,2023-09-08,NL0012817175,Citadel Advisors LLC,0.53,archive
Alfen N.V.,2023-09-08,NL0012817175,Voleon Capital Management LP,0.67,archive
Alfen N.V.,2023-09-07,NL0012817175,Citadel Advisors LLC,0.6,archive
AMG Critical Materials N.V.,2023-09-07,NL0000888691,"D. E. Shaw & Co., L.P.",1.1,archive
Alfen N.V.,2023-09-06,NL0012817175,AHL Partners LLP,0.51,archive
Basic-Fit N.V.,2023-09-06,NL0011872650,CapeView Capital LLP,0.6,archive
Alfen N.V.,2023-09-06,NL0012817175,Citadel Advisors LLC,0.59,archive
Alfen N.V.,2023-09-06,NL0012817175,"D. E. Shaw & Co., L.P.",0.65,archive
AMG Critical Materials N.V.,2023-09-06,NL0000888691,"D. E. Shaw & Co., L.P.",1.01,archive
Galapagos NV,2023-09-06,BE0003818359,Qube Research & Technologies Ltd.,0.51,archive
Alfen N.V.,2023-09-06,NL0012817175,"WorldQuant, LLC",0.79,archive
AMG Critical Materials N.V.,2023-09-05,NL0000888691,AHL Partners LLP,0.69,archive
Basic-Fit N.V.,2023-09-05,NL0011872650,CapeView Capital LLP,0.59,archive
AMG Critical Materials N.V.,2023-09-05,NL0000888691,"D. E. Shaw & Co., L.P.",0.96,archive
Basic-Fit N.V.,2023-09-04,NL0011872650,CapeView Capital LLP,0.71,archive
AMG Critical Materials N.V.,2023-09-04,NL0000888691,"D. E. Shaw & Co., L.P.",0.88,archive
Alfen N.V.,2023-09-04,NL0012817175,Qube Research & Technologies Ltd.,1.3,archive
Galapagos NV,2023-09-04,BE0003818359,Qube Research & Technologies Ltd.,0.49,archive
Alfen N.V.,2023-09-04,NL0012817175,Voleon Capital Management LP,0.7,archive
BE Semiconductor Industries N.V.,2023-09-01,NL0012866412,Millennium International Management LP,0.8,archive
Aperam S.A.,2023-09-01,LU0569974404,Pantechnicon Advisors LLP,0.63,archive
Galapagos NV,2023-09-01,BE0003818359,Qube Research & Technologies Ltd.,0.5,archive
Alfen N.V.,2023-09-01,NL0012817175,"WorldQuant, LLC",0.83,archive
SBM Offshore N.V.,2023-08-31,NL0000360618,"AQR Capital Management, LLC",0.5,archive
BE Semiconductor Industries N.V.,2023-08-31,NL0012866412,Millennium International Management LP,0.78,archive
Koninklijke KPN N.V.,2023-08-31,NL0000009082,Syquant Capital,0.51,archive
IMCD N.V.,2023-08-30,NL0010801007,"AQR Capital Management, LLC",0.5,archive
AMG Critical Materials N.V.,2023-08-30,NL0000888691,Capital Fund Management S.A.,0.52,archive
Alfen N.V.,2023-08-30,NL0012817175,Citadel Advisors LLC,0.6,archive
AMG Critical Materials N.V.,2023-08-30,NL0000888691,"D. E. Shaw & Co., L.P.",0.97,archive
Pharming Group N.V.,2023-08-30,NL0010391025,Marshall Wace LLP,0.6,archive
Alfen N.V.,2023-08-30,NL0012817175,"WorldQuant, LLC",0.72,archive
Alfen N.V.,2023-08-29,NL0012817175,Citadel Advisors LLC,0.58,archive
Koninklijke BAM Groep N.V.,2023-08-29,NL0000337319,Citadel Advisors LLC,0.44,archive
Koninklijke BAM Groep N.V.,2023-08-29,NL0000337319,Marshall Wace LLP,0.78,archive
Alfen N.V.,2023-08-29,NL0012817175,Qube Research & Technologies Ltd.,1.26,archive
Galapagos NV,2023-08-29,BE0003818359,Qube Research & Technologies Ltd.,0.49,archive
AMG Critical Materials N.V.,2023-08-28,NL0000888691,"D. E. Shaw & Co., L.P.",0.88,archive
Alfen N.V.,2023-08-28,NL0012817175,Qube Research & Technologies Ltd.,1.31,archive
Alfen N.V.,2023-08-28,NL0012817175,Squarepoint Ops LLC,0.69,archive
Alfen N.V.,2023-08-28,NL0012817175,"WorldQuant, LLC",0.62,archive
AMG Critical Materials N.V.,2023-08-25,NL0000888691,AHL Partners LLP,0.7,archive
Vivoryon Therapeutics N.V.,2023-08-25,NL00150002Q7,Janus Henderson Investors UK Limited,1.12,archive
Alfen N.V.,2023-08-24,NL0012817175,Citadel Advisors LLC,0.63,archive
AMG Critical Materials N.V.,2023-08-24,NL0000888691,"D. E. Shaw & Co., L.P.",0.93,archive
Aperam S.A.,2023-08-24,LU0569974404,"ExodusPoint Capital Management, LP",0.49,archive
BE Semiconductor Industries N.V.,2023-08-24,NL0012866412,Millennium Capital Management France SAS,0.7,archive
Alfen N.V.,2023-08-24,NL0012817175,Millennium International Management LP,0.37,archive
Galapagos NV,2023-08-24,BE0003818359,Qube Research & Technologies Ltd.,0.5,archive
Alfen N.V.,2023-08-24,NL0012817175,Voleon Capital Management LP,0.64,archive
Alfen N.V.,2023-08-24,NL0012817175,"WorldQuant, LLC",0.5,archive
Basic-Fit N.V.,2023-08-23,NL0011872650,CapeView Capital LLP,0.63,archive
Alfen N.V.,2023-08-23,NL0012817175,Citadel Advisors LLC,0.52,archive
Alfen N.V.,2023-08-23,NL0012817175,Marshall Wace LLP,0.49,archive
Koninklijke BAM Groep N.V.,2023-08-23,NL0000337319,Marshall Wace LLP,0.88,archive
BE Semiconductor Industries N.V.,2023-08-23,NL0012866412,Millennium Capital Management France SAS,0.67,archive
Alfen N.V.,2023-08-23,NL0012817175,Qube Research & Technologies Ltd.,1.25,archive
Galapagos NV,2023-08-23,BE0003818359,Qube Research & Technologies Ltd.,0.48,archive
Alfen N.V.,2023-08-23,NL0012817175,Squarepoint Ops LLC,0.71,archive
Vivoryon Therapeutics N.V.,2023-08-22,NL00150002Q7,Janus Henderson Investors UK Limited,1.03,archive
Pharming Group N.V.,2023-08-22,NL0010391025,Marshall Wace LLP,0.5,archive
Alfen N.V.,2023-08-22,NL0012817175,Millennium International Management LP,0.57,archive
Koninklijke KPN N.V.,2023-08-22,NL0000009082,Syquant Capital,0.48,archive
AMG Critical Materials N.V.,2023-08-21,NL0000888691,AHL Partners LLP,0.6,archive
Basic-Fit N.V.,2023-08-21,NL0011872650,"D. E. Shaw & Co. (London), LLP",0.55,archive
Alfen N.V.,2023-08-21,NL0012817175,"D. E. Shaw & Co., L.P.",0.5,archive
AMG Critical Materials N.V.,2023-08-21,NL0000888691,"D. E. Shaw & Co., L.P.",0.88,archive
IMCD N.V.,2023-08-18,NL0010801007,"AQR Capital Management, LLC",0.48,archive
AMG Critical Materials N.V.,2023-08-18,NL0000888691,"D. E. Shaw & Co., L.P.",0.91,archive
Koninklijke Philips N.V.,2023-08-18,NL0000009538,Greenvale Capital LLP,0.61,archive
Alfen N.V.,2023-08-18,NL0012817175,Marshall Wace LLP,0.78,archive
Koninklijke KPN N.V.,2023-08-18,NL0000009082,Syquant Capital,0.5,archive
Wereldhave N.V.,2023-08-18,NL0000289213,Toscafund Asset Management LLP,1.05,archive
