issuer_name,position_date,isin,position_holder,net_short_position,source
Koninklijke BAM Groep N.V.,2014-07-18,NL0000337319,"WorldQuant, LLC",0.55,archive
Aperam S.A.,2014-07-16,LU0569974404,BNP Paribas S.A.,0.51,archive
Koninklijke BAM Groep N.V.,2014-07-16,NL0000337319,Marshall Wace LLP,1.19,archive
Fugro N.V.,2014-07-15,NL0000352565,AKO Capital LLP,0.5,archive
SBM Offshore N.V.,2014-07-15,NL0000360618,AKO Capital LLP,0.65,archive
Fugro N.V.,2014-07-15,NL0000352565,Marshall Wace LLP,0.82,archive
Koninklijke BAM Groep N.V.,2014-07-15,NL0000337319,Marshall Wace LLP,1.23,archive
Fugro N.V.,2014-07-14,NL0000352565,AKO Capital LLP,0.7,archive
SBM Offshore N.V.,2014-07-14,NL0000360618,AKO Capital LLP,0.57,archive
Koninklijke BAM Groep N.V.,2014-07-14,NL0000337319,Marshall Wace LLP,1.08,archive
Koninklijke BAM Groep N.V.,2014-07-14,NL0000337319,"WorldQuant, LLC",0.62,archive
Fugro N.V.,2014-07-11,NL0000352565,AKO Capital LLP,0.82,archive
Fugro N.V.,2014-07-11,NL0000352565,Marshall Wace LLP,0.72,archive
Koninklijke BAM Groep N.V.,2014-07-11,NL0000337319,Marshall Wace LLP,0.99,archive
Koninklijke BAM Groep N.V.,2014-07-11,NL0000337319,"WorldQuant, LLC",0.51,archive
Fugro N.V.,2014-07-10,NL0000352565,Adelphi Capital LLP,0.63,archive
Fugro N.V.,2014-07-10,NL0000352565,AKO Capital LLP,1.05,archive
Koninklijke BAM Groep N.V.,2014-07-10,NL0000337319,AKO Capital LLP,0.29,archive
Fugro N.V.,2014-07-10,NL0000352565,"AQR Capital Management, LLC",1.29,archive
Fugro N.V.,2014-07-10,NL0000352565,BlackRock Investment Management (UK) Limited,0.91,archive
Fugro N.V.,2014-07-10,NL0000352565,Citadel Europe LLP,0.36,archive
Fugro N.V.,2014-07-10,NL0000352565,Marshall Wace LLP,0.64,archive
Koninklijke BAM Groep N.V.,2014-07-10,NL0000337319,Marshall Wace LLP,0.89,archive
Fugro N.V.,2014-07-09,NL0000352565,"AQR Capital Management, LLC",1.37,archive
Koninklijke BAM Groep N.V.,2014-07-09,NL0000337319,Marshall Wace LLP,0.74,archive
Fugro N.V.,2014-07-08,NL0000352565,"AQR Capital Management, LLC",1.46,archive
Koninklijke BAM Groep N.V.,2014-07-08,NL0000337319,Marshall Wace LLP,0.58,archive
Koninklijke BAM Groep N.V.,2014-07-07,NL0000337319,TT International,0.53,archive
Koninklijke Heijmans N.V.,2014-07-03,NL0009269109,"BlackRock Institutional Trust Company, National Association",0.57,archive
